Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
26.39,29.17,26.39,26.39,29.86,27.64±1.73,9.95±1.55
23.61,25.69,27.78,22.92,22.22,24.44±2.27,7.30±1.83
56.25,68.06,66.67,65.28,52.08,61.67±7.07,56.17±12.31
81.94,86.81,81.25,82.64,86.81,83.89±2.71,102.60±6.84
77.78,76.39,77.08,78.47,80.56,78.06±1.60,88.61±3.66
85.42,90.97,90.28,90.28,90.28,89.44±2.27,117.28±6.17
63.19,42.36,47.92,61.11,55.56,54.03±8.80,43.60±13.71
88.89,92.36,93.75,94.44,92.36,92.36±2.14,125.78±6.34
81.25,79.86,81.94,79.86,75.69,79.72±2.43,92.48±5.56
43.06,45.14,31.25,44.44,48.61,42.50±6.61,26.68±7.99
62.78,63.68,62.43,64.58,63.4,63.38±23.96,67.05±41.80
