Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
49.17,60.33,69.0,56.0,66.5,60.20±8.01,53.73±13.76
17.0,16.33,9.83,16.17,20.17,15.90±3.76,2.15±1.46
58.33,67.33,69.67,59.17,52.0,61.30±7.18,55.54±12.70
85.5,78.0,70.83,83.83,82.0,80.03±5.85,93.64±13.32
81.5,69.33,63.33,70.83,84.33,73.87±8.78,80.39±18.93
91.67,91.0,94.0,83.17,84.67,88.90±4.71,116.19±12.98
85.83,85.33,82.17,87.33,83.67,84.87±2.00,105.00±5.07
89.83,93.83,93.67,93.0,95.33,93.13±2.03,128.14±6.18
75.0,59.0,77.5,79.5,67.0,71.60±8.50,75.50±16.94
39.67,46.0,21.0,41.5,48.17,39.27±10.76,23.45±11.40
67.35,66.65,65.1,67.05,68.38,66.91±22.76,73.37±38.17
