Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
86.67,96.67,96.67,96.67,95.00,94.33±4.35
66.67,41.67,65.00,76.67,70.00,64.00±13.26
100.00,98.33,91.67,83.33,86.67,92.00±7.21
100.00,100.00,98.33,100.00,100.00,99.67±0.75
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,98.33,86.67,100.00,100.00,97.00±5.82
100.00,100.00,100.00,100.00,98.33,99.67±0.75
100.00,100.00,91.67,98.33,98.33,97.67±3.46
91.67,81.67,65.00,66.67,80.00,77.00±11.14
94.50,91.67,89.50,92.17,92.83,92.13±11.48
