Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
21.0,29.17,27.83,33.33,32.5,28.77±4.90,13.10±4.96
11.83,18.33,20.67,13.67,19.67,16.83±3.87,3.02±2.09
22.5,36.67,42.0,39.83,29.0,34.00±8.10,19.71±9.64
68.67,59.0,55.17,69.5,61.0,62.67±6.23,67.50±13.16
44.33,36.83,42.83,58.17,37.0,43.83±8.69,33.53±14.45
69.17,63.0,69.17,65.5,73.83,68.13±4.12,79.21±9.43
65.67,56.33,57.33,57.17,56.33,58.57±4.00,58.84±8.23
73.83,74.0,80.33,72.33,75.0,75.10±3.08,95.84±7.97
41.0,56.33,45.33,40.0,36.83,43.90±7.59,33.42±12.50
27.33,29.5,22.17,28.33,27.33,26.93±2.81,10.96±2.69
44.53,45.92,46.28,47.78,44.85,45.87±18.54,41.51±30.29
