Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
56.67,61.67,80.00,78.33,96.67,74.67±15.96
68.33,28.33,65.00,66.67,86.67,63.00±21.26
95.00,100.00,88.33,78.33,86.67,89.67±8.28
100.00,100.00,100.00,98.33,100.00,99.67±0.75
100.00,100.00,100.00,100.00,98.33,99.67±0.75
100.00,100.00,98.33,100.00,100.00,99.67±0.75
100.00,96.67,98.33,98.33,100.00,98.67±1.39
100.00,100.00,100.00,96.67,100.00,99.33±1.49
98.33,88.33,100.00,96.67,98.33,96.33±4.62
81.67,90.00,65.00,68.33,86.67,78.33±11.12
90.00,86.50,89.50,88.17,95.33,89.90±12.58
