Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
31.25,46.53,48.61,47.92,44.44,43.75±7.17,28.40±8.72
47.92,40.97,55.56,45.83,45.14,47.08±5.37,32.72±7.79
73.61,86.81,81.25,75.69,67.36,76.94±7.42,86.86±16.75
97.22,100.0,99.31,98.61,97.22,98.47±1.24,146.82±5.25
99.31,100.0,98.61,100.0,97.92,99.17±0.91,149.74±4.10
95.14,97.22,97.92,94.44,98.61,96.67±1.80,139.91±6.41
86.11,56.25,72.92,81.94,79.17,75.28±11.67,84.14±23.86
94.44,90.28,97.92,98.61,95.14,95.28±3.31,135.48±10.94
96.53,95.83,97.92,90.28,92.36,94.58±3.16,133.07±10.20
71.53,68.75,70.14,58.33,81.25,70.00±8.16,72.19±16.45
79.31,78.26,82.01,79.17,79.86,79.72±19.90,100.93±44.11
