Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
18.06,21.53,25.69,24.31,25.0,22.92±3.14,7.25±2.54
23.61,19.44,22.92,20.83,22.92,21.94±1.74,6.33±1.39
52.08,51.39,47.92,54.86,41.67,49.58±5.07,42.34±8.47
75.0,76.39,73.61,70.14,78.47,74.72±3.13,94.89±7.80
72.92,68.06,70.14,73.61,72.22,71.39±2.27,86.65±5.38
77.78,79.86,81.94,75.0,74.31,77.78±3.22,102.77±8.51
52.08,34.03,35.42,45.83,44.44,42.36±7.56,31.07±11.42
82.64,81.94,88.89,84.72,83.33,84.31±2.76,120.92±8.34
70.14,69.44,70.83,64.58,61.81,67.36±3.96,77.43±8.79
31.94,32.64,19.44,27.08,34.03,29.03±5.96,13.55±5.92
55.62,53.47,53.68,54.1,53.82,54.14±22.73,58.32±40.88
