Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
91.67,97.22,94.44,100.00,97.22,96.11±3.17
83.33,69.44,80.56,75.00,88.89,79.44±7.51
100.00,97.22,100.00,94.44,94.44,97.22±2.78
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,94.44,100.00,98.89±2.48
97.22,100.00,100.00,97.22,97.22,98.33±1.52
100.00,100.00,97.22,100.00,100.00,99.44±1.24
100.00,100.00,86.11,80.56,94.44,92.22±8.65
97.22,96.39,95.83,94.17,97.22,96.17±6.03
