Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
46.17,48.67,54.5,40.67,64.0,50.80±8.90,49.18±17.58
21.17,21.17,11.0,16.67,10.83,16.17±5.13,3.16±2.93
54.0,51.5,53.17,54.0,41.17,50.77±5.46,48.49±9.86
79.33,71.83,61.17,60.17,71.33,68.77±8.05,88.70±20.37
55.33,55.67,59.17,69.17,65.17,60.90±6.08,69.60±13.84
82.0,81.33,76.33,66.0,75.17,76.17±6.42,108.05±17.49
79.5,81.0,71.83,78.67,71.0,76.40±4.63,108.38±12.92
85.67,82.0,89.5,84.5,90.17,86.37±3.44,138.80±11.51
61.0,50.67,41.5,71.0,45.0,53.83±12.11,56.01±25.35
25.67,23.17,29.5,33.83,29.83,28.40±4.11,13.74±4.76
58.98,56.7,54.77,57.47,56.37,56.86±20.81,68.41±40.87
