Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
41.67,53.47,54.86,59.72,54.17,52.78±6.68,38.56±9.24
56.94,38.19,54.17,49.31,54.17,50.56±7.44,35.50±9.80
78.47,92.36,93.06,81.25,70.83,83.19±9.49,95.57±22.14
97.92,99.31,99.31,100.0,98.61,99.03±0.79,139.09±3.29
99.31,100.0,98.61,99.31,98.61,99.17±0.58,139.61±2.55
95.83,98.61,90.28,97.22,99.31,96.25±3.60,129.74±11.23
86.81,54.17,86.11,81.94,91.67,80.14±14.92,90.04±29.17
93.06,91.67,100.0,99.31,95.14,95.83±3.71,128.70±12.49
96.53,97.22,99.31,90.28,93.75,95.42±3.49,127.00±10.93
79.86,73.61,73.61,71.53,86.11,76.94±6.00,80.83±12.93
82.64,79.86,84.93,82.99,84.24,82.93±17.39,100.46±37.35
