Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
83.33,88.89,86.11,88.89,88.89,87.22±2.48
72.22,55.56,69.44,72.22,69.44,67.78±6.97
91.67,94.44,97.22,86.11,94.44,92.78±4.21
97.22,91.67,94.44,97.22,97.22,95.56±2.48
100.00,100.00,100.00,97.22,100.00,99.44±1.24
100.00,100.00,100.00,100.00,94.44,98.89±2.48
97.22,97.22,97.22,100.00,100.00,98.33±1.52
97.22,97.22,97.22,91.67,97.22,96.11±2.48
94.44,86.11,94.44,86.11,94.44,91.11±4.56
75.00,63.89,52.78,50.00,58.33,60.00±9.94
90.83,87.50,88.89,86.94,89.44,88.72±13.04
