Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
45.83,55.56,40.97,50.0,52.78,49.03±5.76,35.55±8.29
42.36,39.58,47.22,43.75,51.39,44.86±4.57,29.57±6.28
66.67,86.81,77.78,75.0,74.31,76.11±7.26,84.98±16.35
93.75,96.53,97.22,97.92,94.44,95.97±1.80,137.44±6.18
99.31,100.0,98.61,99.31,98.61,99.17±0.58,149.58±2.73
90.28,94.44,95.83,91.67,94.44,93.33±2.28,128.81±7.05
88.89,86.11,90.28,91.67,90.28,89.44±2.11,117.26±5.83
95.14,97.92,97.22,96.53,99.31,97.22±1.55,141.93±5.83
91.67,95.14,94.44,94.44,96.53,94.44±1.77,132.28±5.66
76.39,75.0,71.53,73.61,82.64,75.83±4.21,83.87±9.47
79.03,82.71,81.11,81.39,83.47,81.54±18.97,104.13±41.49
