Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
91.67,100.00,97.22,94.44,88.89,94.44±4.39
88.89,63.89,86.11,72.22,91.67,80.56±11.95
100.00,100.00,100.00,97.22,91.67,97.78±3.62
100.00,100.00,97.22,100.00,100.00,99.44±1.24
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,97.22,97.22,100.00,100.00,98.89±1.52
100.00,100.00,100.00,100.00,97.22,99.44±1.24
100.00,100.00,97.22,100.00,97.22,98.89±1.52
97.22,91.67,80.56,91.67,97.22,91.67±6.80
97.78,95.28,95.56,95.56,96.39,96.11±5.79
