Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
43.83,54.5,39.0,50.33,56.33,48.80±7.29,35.42±10.40
40.0,38.0,50.17,42.17,51.67,44.40±6.15,29.12±8.38
67.33,85.67,77.5,74.67,74.83,76.00±6.59,84.60±14.76
92.83,96.5,96.83,98.0,94.0,95.63±2.14,136.34±7.23
99.33,100.0,98.67,99.33,98.0,99.07±0.76,149.18±3.40
90.17,94.5,96.0,91.83,94.33,93.37±2.33,128.93±7.22
87.67,82.17,92.0,91.17,88.67,88.33±3.87,114.42±10.35
94.17,96.17,97.0,97.0,99.33,96.73±1.86,140.21±6.81
91.67,95.17,94.67,93.83,96.5,94.37±1.79,132.04±5.74
76.17,73.5,71.83,71.5,81.67,74.93±4.19,81.90±9.31
78.32,81.62,81.37,80.98,83.53,81.16±19.00,103.22±41.33
