Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
42.67,44.83,39.33,49.5,41.83,43.63±3.82,39.01±7.23
40.67,26.5,33.67,43.33,27.67,34.37±7.54,24.04±11.51
65.83,71.17,68.0,68.0,51.67,64.93±7.66,87.10±18.79
88.83,91.5,95.33,85.0,92.17,90.57±3.88,169.08±15.60
97.33,96.0,96.5,98.5,96.0,96.87±1.06,196.67±5.51
90.33,89.83,94.17,86.83,94.33,91.10±3.17,171.06±12.98
79.33,83.5,81.5,82.33,80.33,81.40±1.64,134.96±5.49
90.83,85.83,89.33,92.17,90.0,89.63±2.37,164.95±9.22
79.5,87.0,83.67,83.0,79.5,82.53±3.16,138.99±10.90
51.17,54.83,44.0,42.83,56.0,49.77±6.08,51.34±12.46
72.65,73.1,72.55,73.15,70.95,72.48±21.45,117.72±59.17
