Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
49.31,52.78,50.69,49.31,53.47,51.11±1.94,41.30±3.16
45.14,34.72,47.92,36.81,48.61,42.64±6.45,28.90±8.85
70.83,81.94,72.92,72.22,68.75,73.33±5.07,84.63±12.00
91.67,92.36,97.92,93.06,97.92,94.58±3.08,143.35±11.12
97.22,97.22,96.53,93.75,97.92,96.53±1.63,150.07±6.00
86.81,93.06,95.14,92.36,97.92,93.06±4.11,138.30±13.59
79.86,76.39,90.28,90.28,81.25,83.61±6.34,110.41±17.27
90.28,91.67,95.83,96.53,96.53,94.17±2.97,141.76±10.10
78.47,87.5,90.28,95.14,85.42,87.36±6.16,120.96±17.83
61.81,75.0,63.89,70.83,67.36,67.78±5.30,72.51±11.21
75.14,78.26,80.14,79.03,79.51,78.42±18.23,103.22±41.87
