Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
18.06,24.31,24.31,18.75,22.92,21.67±3.04,6.78±2.60
20.83,13.89,19.44,17.36,22.92,18.89±3.45,4.60±2.44
37.5,43.75,44.44,47.22,29.86,40.56±6.95,30.88±10.51
63.19,70.14,63.89,63.19,71.53,66.39±4.10,82.12±10.05
64.58,62.5,61.11,68.06,70.83,65.42±4.00,79.77±9.64
70.83,66.67,76.39,65.97,70.83,70.14±4.17,91.48±10.83
41.67,35.42,37.5,43.06,46.53,40.83±4.43,30.94±7.07
79.86,79.86,81.25,80.56,78.47,80.00±1.03,118.45±3.06
59.03,65.97,59.72,54.17,54.86,58.75±4.73,64.66±10.43
26.39,23.61,15.97,16.67,22.92,21.11±4.57,6.52±3.79
48.19,48.61,48.4,47.5,49.17,48.38±21.54,51.62±38.81
