Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
42.83,43.5,49.0,40.17,51.17,45.33±4.58,42.30±8.84
22.33,22.17,16.5,20.0,14.33,19.07±3.54,5.22±2.79
49.5,57.33,55.0,59.83,42.33,52.80±6.99,57.94±14.74
62.5,69.33,77.17,78.5,55.83,68.67±9.65,97.74±26.31
49.33,38.0,57.33,54.83,55.5,51.00±7.86,54.26±15.59
74.33,70.0,69.83,68.0,69.83,70.40±2.35,101.16±6.74
75.0,81.83,73.0,66.5,70.0,73.27±5.76,109.95±17.35
74.17,80.5,84.5,71.17,84.33,78.93±6.03,127.56±19.23
53.5,63.83,44.0,61.83,36.83,52.00±11.54,57.40±24.28
27.0,26.0,18.33,19.0,15.5,21.17±5.06,7.32±4.83
53.05,55.25,54.47,53.98,49.57,53.26±19.65,66.09±39.93
