Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
12.83,27.33,24.83,31.0,26.0,24.40±6.87,10.04±5.76
18.5,22.83,21.5,20.17,21.17,20.83±1.62,5.94±1.33
22.0,32.33,42.33,29.67,24.67,30.20±7.90,16.55±10.29
41.17,60.17,58.83,60.17,54.17,54.90±8.06,57.10±15.38
27.0,34.33,32.17,49.83,30.5,34.77±8.84,22.67±13.64
62.5,54.0,57.0,59.83,65.0,59.67±4.35,66.62±9.53
63.83,43.33,50.67,46.83,64.0,53.73±9.65,55.10±19.63
65.5,68.0,71.33,65.67,62.17,66.53±3.39,82.40±8.28
29.5,39.5,28.0,27.5,24.17,29.73±5.80,15.56±7.59
20.5,21.0,15.33,18.67,17.5,18.60±2.31,4.26±1.63
36.33,40.28,40.2,40.93,38.93,39.34±16.72,33.62±27.21
