Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
28.47,36.81,45.83,36.11,43.75,38.19±6.89,24.96±9.34
43.06,25.0,41.67,41.67,40.28,38.33±7.52,25.29±9.25
69.44,74.31,70.83,69.44,53.47,67.50±8.09,78.37±17.14
94.44,97.22,95.14,94.44,92.36,94.72±1.74,155.39±6.72
96.53,98.61,95.83,98.61,95.83,97.08±1.42,164.91±6.18
93.06,88.89,93.06,92.36,96.53,92.78±2.72,148.39±9.78
70.14,57.64,68.06,65.97,72.92,66.94±5.80,76.73±12.63
87.5,88.89,93.75,96.53,93.06,91.94±3.69,145.66±12.98
88.19,87.5,85.42,79.86,88.89,85.97±3.65,126.04±10.77
56.25,56.94,59.03,46.53,68.06,57.36±7.68,56.98±14.96
72.71,71.18,74.86,72.15,74.51,73.08±21.67,100.27±51.44
