Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
83.33,94.44,100.00,94.44,91.67,92.78±6.09
91.67,77.78,88.89,83.33,88.89,86.11±5.56
94.44,100.00,100.00,97.22,83.33,95.00±6.92
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
97.22,100.00,100.00,100.00,97.22,98.89±1.52
97.22,91.67,97.22,97.22,97.22,96.11±2.48
100.00,100.00,100.00,97.22,100.00,99.44±1.24
100.00,100.00,100.00,100.00,97.22,99.44±1.24
97.22,97.22,83.33,88.89,94.44,92.22±6.02
96.11,96.11,96.94,95.83,95.00,96.00±4.33
