Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
48.75,51.25,56.25,47.5,47.5,50.25±3.69,9.20±2.67
68.75,57.5,77.5,61.25,70.0,67.00±7.84,24.78±8.90
50.0,32.5,31.25,38.75,46.25,39.75±8.26,3.95±3.64
88.75,92.5,97.5,96.25,90.0,93.00±3.81,65.87±8.91
43.75,40.0,33.75,33.75,36.25,37.50±4.33,2.55±1.69
68.75,78.75,73.75,70.0,62.5,70.75±6.03,28.92±7.43
87.5,91.25,93.75,95.0,87.5,91.00±3.47,61.27±7.38
33.75,35.0,27.5,32.5,27.5,31.25±3.54,0.76±0.64
33.75,37.5,35.0,48.75,43.75,39.75±6.34,3.65±2.91
52.5,53.75,42.5,50.0,55.0,50.75±4.97,9.65±3.19
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
86.25,87.5,88.75,96.25,90.0,89.75±3.89,58.79±8.53
36.25,27.5,31.25,32.5,26.25,30.75±4.01,0.71±0.77
57.5,65.0,52.5,50.0,52.5,55.50±5.97,13.37±5.23
47.5,47.5,46.25,47.5,36.25,45.00±4.92,6.05±2.33
73.75,70.0,80.0,66.25,71.25,72.25±5.11,30.68±6.71
61.25,51.25,62.5,62.5,63.75,60.25±5.11,17.43±4.38
96.25,98.75,96.25,97.5,96.25,97.00±1.12,75.47±3.30
56.25,62.5,71.25,62.5,61.25,62.75±5.41,19.90±5.65
28.75,30.0,35.0,25.0,37.5,31.25±5.00,0.90±1.00
65.0,66.25,66.25,58.75,62.5,63.75±3.19,20.71±3.18
40.0,35.0,32.5,35.0,41.25,36.75±3.71,2.24±1.31
17.5,26.25,20.0,21.25,30.0,23.00±5.05,0.08±0.17
50.0,46.25,45.0,42.5,41.25,45.00±3.42,5.92±1.96
52.5,53.75,63.75,61.25,52.5,56.75±5.35,14.33±4.69
58.75,47.5,56.25,50.0,52.5,53.00±4.56,11.25±3.46
86.25,90.0,76.25,78.75,80.0,82.25±5.69,45.32±9.59
42.5,52.5,43.75,43.75,47.5,46.00±4.09,6.54±2.54
43.75,37.5,60.0,51.25,43.75,47.25±8.63,7.86±5.72
92.5,92.5,88.75,92.5,92.5,91.75±1.68,62.58±3.50
90.0,97.5,97.5,96.25,96.25,95.50±3.14,71.79±7.46
86.25,80.0,88.75,88.75,86.25,86.00±3.58,51.42±6.18
32.5,31.25,26.25,26.25,31.25,29.50±3.01,0.43±0.38
27.5,36.25,28.75,33.75,22.5,29.75±5.41,0.69±0.84
28.75,27.5,35.0,40.0,33.75,33.00±5.05,1.28±1.31
95.0,100.0,100.0,98.75,100.0,98.75±2.17,81.58±6.80
86.25,82.5,85.0,85.0,75.0,82.75±4.54,45.90±7.07
83.75,86.25,80.0,87.5,78.75,83.25±3.81,46.65±6.36
47.5,51.25,45.0,55.0,55.0,50.75±4.47,9.61±3.08
46.25,26.25,32.5,27.5,43.75,35.25±9.24,2.53±3.07
82.5,81.25,87.5,81.25,75.0,81.50±4.45,43.87±7.11
61.25,62.5,52.5,60.0,58.75,59.00±3.89,16.17±3.35
91.25,92.5,85.0,90.0,81.25,88.00±4.73,55.39±8.82
83.75,88.75,91.25,93.75,77.5,87.00±6.47,53.89±11.72
30.0,26.25,28.75,42.5,35.0,32.50±6.43,1.33±1.86
45.0,43.75,41.25,46.25,47.5,44.75±2.40,5.73±1.30
30.0,30.0,26.25,28.75,35.0,30.00±3.19,0.51±0.59
43.75,51.25,50.0,42.5,52.5,48.00±4.56,7.79±2.80
81.25,77.5,83.75,86.25,85.0,82.75±3.47,45.77±5.60
67.5,77.5,63.75,70.0,78.75,71.50±6.46,29.92±8.14
41.25,45.0,27.5,38.75,28.75,36.25±7.76,2.57±2.45
57.5,47.5,50.0,60.0,46.25,52.25±6.15,10.86±4.67
42.5,35.0,41.25,46.25,43.75,41.75±4.20,4.32±1.84
37.5,45.0,41.25,36.25,47.5,41.50±4.79,4.25±2.27
59.03,58.89,58.77,59.44,58.52,58.93±22.86,23.90±25.23
