Fold1,Fold2,Mean±Std
31.25,56.25,43.75±17.68
43.75,41.67,42.71±1.47
29.17,39.58,34.38±7.37
60.42,66.67,63.54±4.42
35.42,29.17,32.29±4.42
43.75,47.92,45.83±2.95
54.17,60.42,57.29±4.42
33.33,25.00,29.17±5.89
27.08,22.92,25.00±2.95
37.50,37.50,37.50±0.00
72.92,79.17,76.04±4.42
39.58,33.33,36.46±4.42
29.17,25.00,27.08±2.95
37.50,43.75,40.62±4.42
35.42,43.75,39.58±5.89
45.83,43.75,44.79±1.47
58.33,45.83,52.08±8.84
68.75,81.25,75.00±8.84
47.92,41.67,44.79±4.42
45.83,37.50,41.67±5.89
43.75,37.50,40.62±4.42
22.92,29.17,26.04±4.42
14.58,22.92,18.75±5.89
29.17,31.25,30.21±1.47
37.50,33.33,35.42±2.95
31.25,27.08,29.17±2.95
43.75,41.67,42.71±1.47
18.75,39.58,29.17±14.73
31.25,41.67,36.46±7.37
70.83,68.75,69.79±1.47
72.92,56.25,64.58±11.79
72.92,68.75,70.83±2.95
22.92,31.25,27.08±5.89
31.25,20.83,26.04±7.37
35.42,25.00,30.21±7.37
75.00,81.25,78.12±4.42
60.42,60.42,60.42±0.00
60.42,54.17,57.29±4.42
45.83,54.17,50.00±5.89
29.17,29.17,29.17±0.00
50.00,50.00,50.00±0.00
35.42,29.17,32.29±4.42
56.25,47.92,52.08±5.89
64.58,68.75,66.67±2.95
25.00,31.25,28.12±4.42
22.92,20.83,21.88±1.47
31.25,31.25,31.25±0.00
39.58,35.42,37.50±2.95
60.42,70.83,65.62±7.37
43.75,45.83,44.79±1.47
14.58,31.25,22.92±11.79
41.67,37.50,39.58±2.95
27.08,31.25,29.17±2.95
31.25,35.42,33.33±2.95
42.05,43.02,42.53±15.46
