Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
45.00,25.00,15.00,40.00,30.00,31.00±11.94
40.00,65.00,40.00,40.00,25.00,42.00±14.40
50.00,35.00,30.00,40.00,45.00,40.00±7.91
60.00,70.00,90.00,80.00,90.00,78.00±13.04
40.00,20.00,35.00,15.00,25.00,27.00±10.37
60.00,55.00,60.00,60.00,50.00,57.00±4.47
50.00,60.00,50.00,55.00,50.00,53.00±4.47
30.00,30.00,30.00,10.00,20.00,24.00±8.94
25.00,25.00,25.00,50.00,30.00,31.00±10.84
55.00,35.00,35.00,35.00,35.00,39.00±8.94
85.00,90.00,85.00,85.00,85.00,86.00±2.24
25.00,65.00,60.00,50.00,50.00,50.00±15.41
30.00,40.00,35.00,15.00,35.00,31.00±9.62
45.00,35.00,50.00,50.00,45.00,45.00±6.12
40.00,25.00,35.00,25.00,35.00,32.00±6.71
40.00,65.00,60.00,50.00,50.00,53.00±9.75
55.00,85.00,35.00,55.00,25.00,51.00±23.02
80.00,85.00,80.00,90.00,90.00,85.00±5.00
55.00,50.00,55.00,55.00,35.00,50.00±8.66
40.00,30.00,25.00,35.00,35.00,33.00±5.70
35.00,50.00,50.00,45.00,35.00,43.00±7.58
20.00,40.00,40.00,20.00,40.00,32.00±10.95
30.00,20.00,20.00,40.00,15.00,25.00±10.00
35.00,20.00,15.00,35.00,30.00,27.00±9.08
40.00,65.00,45.00,40.00,25.00,43.00±14.40
25.00,10.00,45.00,35.00,25.00,28.00±13.04
60.00,35.00,70.00,40.00,45.00,50.00±14.58
40.00,15.00,20.00,45.00,45.00,33.00±14.40
30.00,30.00,50.00,45.00,25.00,36.00±10.84
70.00,70.00,75.00,75.00,80.00,74.00±4.18
70.00,75.00,90.00,55.00,55.00,69.00±14.75
70.00,80.00,60.00,50.00,65.00,65.00±11.18
45.00,25.00,15.00,15.00,35.00,27.00±13.04
20.00,25.00,30.00,25.00,40.00,28.00±7.58
15.00,30.00,25.00,35.00,40.00,29.00±9.62
90.00,65.00,95.00,95.00,95.00,88.00±13.04
65.00,75.00,70.00,70.00,75.00,71.00±4.18
70.00,55.00,50.00,40.00,55.00,54.00±10.84
35.00,40.00,35.00,55.00,60.00,45.00±11.73
45.00,30.00,35.00,20.00,25.00,31.00±9.62
65.00,65.00,45.00,40.00,55.00,54.00±11.40
40.00,40.00,30.00,20.00,55.00,37.00±13.04
40.00,75.00,50.00,60.00,80.00,61.00±16.73
55.00,60.00,75.00,85.00,55.00,66.00±13.42
25.00,35.00,10.00,40.00,30.00,28.00±11.51
20.00,15.00,25.00,30.00,60.00,30.00±17.68
5.00,15.00,10.00,20.00,30.00,16.00±9.62
60.00,55.00,45.00,35.00,45.00,48.00±9.75
70.00,70.00,80.00,55.00,70.00,69.00±8.94
40.00,55.00,35.00,65.00,40.00,47.00±12.55
20.00,25.00,45.00,15.00,45.00,30.00±14.14
45.00,50.00,45.00,55.00,60.00,51.00±6.52
25.00,25.00,55.00,40.00,40.00,37.00±12.55
30.00,35.00,20.00,45.00,35.00,33.00±9.08
44.44,45.65,45.09,44.81,46.20,45.24±17.56
