Fold1,Mean±Std
93.00,93.00±nan
99.00,99.00±nan
82.00,82.00±nan
100.00,100.00±nan
52.00,52.00±nan
98.00,98.00±nan
99.00,99.00±nan
49.00,49.00±nan
88.00,88.00±nan
82.00,82.00±nan
100.00,100.00±nan
100.00,100.00±nan
70.00,70.00±nan
87.00,87.00±nan
91.00,91.00±nan
99.00,99.00±nan
89.00,89.00±nan
97.00,97.00±nan
92.00,92.00±nan
65.00,65.00±nan
93.00,93.00±nan
76.00,76.00±nan
31.00,31.00±nan
88.00,88.00±nan
98.00,98.00±nan
93.00,93.00±nan
98.00,98.00±nan
78.00,78.00±nan
85.00,85.00±nan
98.00,98.00±nan
97.00,97.00±nan
99.00,99.00±nan
51.00,51.00±nan
66.00,66.00±nan
76.00,76.00±nan
100.00,100.00±nan
98.00,98.00±nan
99.00,99.00±nan
95.00,95.00±nan
65.00,65.00±nan
93.00,93.00±nan
100.00,100.00±nan
97.00,97.00±nan
91.00,91.00±nan
85.00,85.00±nan
76.00,76.00±nan
24.00,24.00±nan
92.00,92.00±nan
100.00,100.00±nan
98.00,98.00±nan
79.00,79.00±nan
92.00,92.00±nan
88.00,88.00±nan
90.00,90.00±nan
85.57,85.57±17.38
