Fold1,Fold2,Mean±Std
72.50,64.17,68.33±5.89
86.67,79.17,82.92±5.30
64.17,55.00,59.58±6.48
92.50,93.33,92.92±0.59
50.83,36.67,43.75±10.02
81.67,82.50,82.08±0.59
100.00,98.33,99.17±1.18
67.50,74.17,70.83±4.71
91.67,90.83,91.25±0.59
79.17,84.17,81.67±3.54
100.00,100.00,100.00±0.00
98.33,100.00,99.17±1.18
66.67,83.33,75.00±11.79
52.50,73.33,62.92±14.73
71.67,61.67,66.67±7.07
98.33,98.33,98.33±0.00
58.33,72.50,65.42±10.02
100.00,100.00,100.00±0.00
71.67,61.67,66.67±7.07
50.83,65.83,58.33±10.61
75.83,96.67,86.25±14.73
70.83,64.17,67.50±4.71
31.67,23.33,27.50±5.89
64.17,65.00,64.58±0.59
90.83,92.50,91.67±1.18
76.67,71.67,74.17±3.54
80.83,94.17,87.50±9.43
64.17,69.17,66.67±3.54
90.83,82.50,86.67±5.89
95.83,98.33,97.08±1.77
100.00,100.00,100.00±0.00
96.67,98.33,97.50±1.18
55.83,45.00,50.42±7.66
48.33,43.33,45.83±3.54
31.67,46.67,39.17±10.61
100.00,100.00,100.00±0.00
100.00,95.00,97.50±3.54
90.83,69.17,80.00±15.32
86.67,62.50,74.58±17.09
51.67,66.67,59.17±10.61
100.00,90.00,95.00±7.07
85.83,72.50,79.17±9.43
98.33,96.67,97.50±1.18
96.67,100.00,98.33±2.36
55.00,65.00,60.00±7.07
81.67,71.67,76.67±7.07
22.50,29.17,25.83±4.71
76.67,95.00,85.83±12.96
93.33,98.33,95.83±3.54
69.17,87.50,78.33±12.96
50.83,66.67,58.75±11.20
77.50,71.67,74.58±4.12
55.00,77.50,66.25±15.91
46.67,61.67,54.17±10.61
75.32,76.71,76.02±19.24
