Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
80.00,70.00,90.00,85.00,60.00,77.00±12.04
100.00,85.00,80.00,70.00,75.00,82.00±11.51
65.00,55.00,45.00,60.00,70.00,59.00±9.62
95.00,100.00,100.00,100.00,100.00,99.00±2.24
60.00,55.00,60.00,65.00,45.00,57.00±7.58
95.00,85.00,95.00,100.00,75.00,90.00±10.00
95.00,100.00,100.00,100.00,100.00,99.00±2.24
75.00,75.00,60.00,65.00,65.00,68.00±6.71
80.00,95.00,95.00,90.00,90.00,90.00±6.12
90.00,65.00,90.00,100.00,85.00,86.00±12.94
100.00,100.00,100.00,100.00,95.00,99.00±2.24
85.00,100.00,100.00,95.00,95.00,95.00±6.12
80.00,80.00,80.00,50.00,50.00,68.00±16.43
75.00,80.00,75.00,85.00,80.00,79.00±4.18
70.00,55.00,55.00,65.00,65.00,62.00±6.71
100.00,95.00,95.00,95.00,95.00,96.00±2.24
75.00,95.00,75.00,80.00,75.00,80.00±8.66
95.00,100.00,100.00,95.00,95.00,97.00±2.74
65.00,90.00,70.00,55.00,90.00,74.00±15.57
40.00,60.00,65.00,60.00,30.00,51.00±15.17
90.00,95.00,90.00,85.00,90.00,90.00±3.54
70.00,70.00,70.00,45.00,35.00,58.00±16.81
25.00,55.00,35.00,30.00,30.00,35.00±11.73
50.00,45.00,70.00,50.00,55.00,54.00±9.62
90.00,85.00,100.00,95.00,80.00,90.00±7.91
85.00,50.00,70.00,70.00,40.00,63.00±17.89
85.00,75.00,90.00,100.00,65.00,83.00±13.51
60.00,95.00,65.00,55.00,60.00,67.00±16.05
70.00,100.00,90.00,85.00,95.00,88.00±11.51
100.00,95.00,85.00,95.00,100.00,95.00±6.12
100.00,100.00,100.00,95.00,95.00,98.00±2.74
95.00,95.00,100.00,100.00,95.00,97.00±2.74
55.00,90.00,50.00,75.00,85.00,71.00±17.82
40.00,35.00,35.00,70.00,60.00,48.00±16.05
50.00,60.00,40.00,45.00,50.00,49.00±7.42
95.00,100.00,100.00,100.00,100.00,99.00±2.24
100.00,100.00,100.00,95.00,90.00,97.00±4.47
95.00,95.00,90.00,80.00,80.00,88.00±7.58
95.00,85.00,90.00,90.00,95.00,91.00±4.18
65.00,90.00,80.00,75.00,70.00,76.00±9.62
95.00,95.00,85.00,90.00,80.00,89.00±6.52
65.00,80.00,85.00,80.00,65.00,75.00±9.35
95.00,100.00,95.00,90.00,95.00,95.00±3.54
90.00,95.00,100.00,100.00,100.00,97.00±4.47
55.00,65.00,45.00,55.00,70.00,58.00±9.75
75.00,65.00,60.00,95.00,75.00,74.00±13.42
25.00,40.00,20.00,30.00,30.00,29.00±7.42
95.00,85.00,90.00,95.00,70.00,87.00±10.37
95.00,95.00,95.00,100.00,100.00,97.00±2.74
85.00,95.00,85.00,95.00,95.00,91.00±5.48
40.00,30.00,55.00,45.00,50.00,44.00±9.62
70.00,100.00,90.00,80.00,80.00,84.00±11.40
80.00,80.00,75.00,65.00,70.00,74.00±6.52
30.00,35.00,50.00,40.00,50.00,41.00±8.94
76.48,79.91,77.96,77.96,74.72,77.41±18.73
