Fold1,Mean±Std
72.57,72.57±nan
76.74,76.74±nan
66.75,66.75±nan
93.14,93.14±nan
56.86,56.86±nan
81.68,81.68±nan
96.44,96.44±nan
77.78,77.78±nan
81.77,81.77±nan
78.99,78.99±nan
91.49,91.49±nan
91.58,91.58±nan
65.71,65.71±nan
83.25,83.25±nan
77.60,77.60±nan
85.85,85.85±nan
65.71,65.71±nan
96.88,96.88±nan
58.16,58.16±nan
67.36,67.36±nan
73.61,73.61±nan
59.46,59.46±nan
35.16,35.16±nan
54.95,54.95±nan
82.29,82.29±nan
72.22,72.22±nan
88.02,88.02±nan
68.06,68.06±nan
73.44,73.44±nan
94.88,94.88±nan
94.88,94.88±nan
62.85,62.85±nan
64.84,64.84±nan
36.20,36.20±nan
61.46,61.46±nan
96.88,96.88±nan
93.32,93.32±nan
78.12,78.12±nan
90.36,90.36±nan
71.27,71.27±nan
86.20,86.20±nan
88.19,88.19±nan
96.27,96.27±nan
92.97,92.97±nan
54.86,54.86±nan
80.56,80.56±nan
35.85,35.85±nan
86.89,86.89±nan
97.66,97.66±nan
88.45,88.45±nan
54.77,54.77±nan
87.76,87.76±nan
84.20,84.20±nan
49.57,49.57±nan
75.98,75.98±16.38
