Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
47.5,42.5,42.5,41.25,41.25,43.00±2.59,6.13±1.79
35.0,28.75,35.0,32.5,36.25,33.50±2.98,1.55±0.85
18.75,31.25,32.5,37.5,32.5,30.50±6.99,1.20±1.10
47.5,55.0,57.5,41.25,61.25,52.50±8.05,14.40±7.27
32.5,22.5,35.0,27.5,35.0,30.50±5.42,1.03±0.94
38.75,38.75,32.5,31.25,46.25,37.50±5.99,3.48±3.01
38.75,43.75,42.5,42.5,41.25,41.75±1.90,5.31±1.10
26.25,26.25,30.0,25.0,33.75,28.25±3.60,0.41±0.64
17.5,50.0,51.25,51.25,42.5,42.50±14.44,8.38±5.45
48.75,41.25,33.75,41.25,40.0,41.00±5.33,5.19±3.17
70.0,66.25,70.0,73.75,57.5,67.50±6.19,31.91±8.44
38.75,37.5,55.0,51.25,53.75,47.25±8.45,9.97±6.23
42.5,23.75,35.0,42.5,32.5,35.25±7.83,2.90±2.67
37.5,38.75,40.0,30.0,27.5,34.75±5.62,2.30±1.87
41.25,25.0,35.0,33.75,33.75,33.75±5.80,1.98±1.82
51.25,58.75,46.25,45.0,31.25,46.50±10.09,9.80±7.11
37.5,37.5,36.25,27.5,38.75,35.50±4.56,2.43±1.35
50.0,48.75,53.75,60.0,73.75,57.25±10.21,19.80±12.70
28.75,30.0,48.75,40.0,33.75,36.25±8.24,3.36±4.17
30.0,26.25,32.5,37.5,30.0,31.25±4.15,1.03±1.17
42.5,55.0,36.25,48.75,60.0,48.50±9.50,11.20±7.71
43.75,43.75,45.0,35.0,38.75,41.25±4.24,5.20±2.32
32.5,23.75,30.0,23.75,41.25,30.25±7.26,1.32±2.09
32.5,26.25,27.5,23.75,27.5,27.50±3.19,0.28±0.47
55.0,46.25,50.0,31.25,51.25,46.75±9.21,9.77±5.74
30.0,35.0,45.0,30.0,36.25,35.25±6.15,2.56±2.84
41.25,36.25,46.25,46.25,32.5,40.50±6.10,5.02±3.29
23.75,33.75,25.0,40.0,31.25,30.75±6.65,1.31±1.76
32.5,46.25,45.0,41.25,50.0,43.00±6.65,6.62±3.83
57.5,35.0,33.75,31.25,41.25,39.75±10.58,5.58±7.50
53.75,53.75,48.75,35.0,52.5,48.75±7.95,11.07±5.43
37.5,48.75,51.25,53.75,53.75,49.00±6.75,11.05±4.88
30.0,27.5,31.25,26.25,26.25,28.25±2.27,0.30±0.33
25.0,33.75,30.0,37.5,23.75,30.00±5.80,1.00±1.27
27.5,32.5,33.75,33.75,31.25,31.75±2.59,1.01±0.58
88.75,61.25,57.5,61.25,88.75,71.50±15.82,41.64±27.49
43.75,48.75,42.5,53.75,40.0,45.75±5.49,8.31±4.24
35.0,30.0,33.75,41.25,38.75,35.75±4.38,2.50±1.77
52.5,43.75,33.75,52.5,42.5,45.00±7.86,8.18±5.28
27.5,25.0,32.5,31.25,21.25,27.50±4.59,0.40±0.51
41.25,50.0,48.75,31.25,27.5,39.75±10.13,5.49±5.20
28.75,28.75,35.0,30.0,28.75,30.25±2.71,0.66±0.72
62.5,71.25,65.0,60.0,68.75,65.50±4.56,28.85±6.29
27.5,50.0,35.0,41.25,48.75,40.50±9.46,5.72±4.95
41.25,37.5,33.75,46.25,42.5,40.25±4.79,4.70±2.61
28.75,22.5,25.0,23.75,31.25,26.25±3.64,0.21±0.34
28.75,32.5,35.0,21.25,33.75,30.25±5.55,0.97±0.82
47.5,45.0,52.5,43.75,47.5,47.25±3.35,9.20±2.72
57.5,56.25,60.0,58.75,67.5,60.00±4.42,21.81±5.57
36.25,37.5,41.25,40.0,40.0,39.00±2.05,3.79±1.03
25.0,30.0,25.0,27.5,23.75,26.25±2.50,0.13±0.22
35.0,31.25,37.5,38.75,43.75,37.25±4.63,3.17±2.16
28.75,32.5,28.75,28.75,30.0,29.75±1.63,0.50±0.36
18.75,30.0,30.0,26.25,27.5,26.50±4.63,0.23±0.25
38.87,39.14,40.3,39.03,40.97,39.66±10.57,6.52±8.29
