Fold1,Fold2,Mean±Std
55.83,50.83,53.33±3.54
37.50,42.50,40.00±3.54
37.50,30.00,33.75±5.30
76.67,77.50,77.08±0.59
35.83,40.00,37.92±2.95
63.33,55.83,59.58±5.30
86.67,85.00,85.83±1.18
38.33,36.67,37.50±1.18
68.33,76.67,72.50±5.89
69.17,63.33,66.25±4.12
84.17,93.33,88.75±6.48
80.00,80.00,80.00±0.00
50.83,48.33,49.58±1.77
43.33,50.83,47.08±5.30
49.17,38.33,43.75±7.66
67.50,74.17,70.83±4.71
43.33,58.33,50.83±10.61
91.67,64.17,77.92±19.45
43.33,45.00,44.17±1.18
32.50,60.83,46.67±20.03
65.83,71.67,68.75±4.12
55.83,50.83,53.33±3.54
32.50,30.83,31.67±1.18
37.50,30.83,34.17±4.71
75.83,70.00,72.92±4.12
50.00,47.50,48.75±1.77
68.33,60.00,64.17±5.89
42.50,50.00,46.25±5.30
45.83,61.67,53.75±11.20
78.33,54.17,66.25±17.09
83.33,72.50,77.92±7.66
83.33,85.00,84.17±1.18
32.50,40.00,36.25±5.30
33.33,29.17,31.25±2.95
42.50,44.17,43.33±1.18
93.33,98.33,95.83±3.54
71.67,72.50,72.08±0.59
55.83,61.67,58.75±4.12
77.50,60.83,69.17±11.79
45.00,23.33,34.17±15.32
53.33,65.83,59.58±8.84
41.67,40.83,41.25±0.59
90.00,88.33,89.17±1.18
70.00,81.67,75.83±8.25
47.50,45.83,46.67±1.18
45.00,43.33,44.17±1.18
19.17,22.50,20.83±2.36
53.33,53.33,53.33±0.00
77.50,90.00,83.75±8.84
63.33,60.83,62.08±1.77
30.00,32.50,31.25±1.77
43.33,48.33,45.83±3.54
46.67,55.00,50.83±5.89
18.33,25.83,22.08±5.30
56.02,56.31,56.17±18.61
