Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
45.00,60.00,70.00,70.00,65.00,62.00±10.37
75.00,65.00,60.00,55.00,85.00,68.00±12.04
50.00,35.00,50.00,55.00,70.00,52.00±12.55
80.00,95.00,100.00,100.00,85.00,92.00±9.08
55.00,40.00,55.00,60.00,60.00,54.00±8.22
95.00,90.00,85.00,80.00,85.00,87.00±5.70
95.00,95.00,100.00,95.00,90.00,95.00±3.54
50.00,65.00,45.00,65.00,50.00,55.00±9.35
45.00,75.00,70.00,65.00,70.00,65.00±11.73
80.00,60.00,85.00,100.00,70.00,79.00±15.17
100.00,95.00,95.00,100.00,95.00,97.00±2.74
75.00,80.00,90.00,90.00,80.00,83.00±6.71
70.00,65.00,70.00,65.00,60.00,66.00±4.18
80.00,60.00,60.00,65.00,60.00,65.00±8.66
60.00,40.00,60.00,85.00,45.00,58.00±17.54
90.00,90.00,90.00,100.00,85.00,91.00±5.48
75.00,65.00,55.00,50.00,70.00,63.00±10.37
85.00,90.00,95.00,95.00,85.00,90.00±5.00
75.00,15.00,75.00,55.00,60.00,56.00±24.60
55.00,55.00,75.00,65.00,55.00,61.00±8.94
95.00,85.00,80.00,80.00,100.00,88.00±9.08
40.00,45.00,60.00,65.00,70.00,56.00±12.94
45.00,50.00,35.00,50.00,35.00,43.00±7.58
30.00,35.00,50.00,30.00,40.00,37.00±8.37
80.00,80.00,90.00,85.00,90.00,85.00±5.00
55.00,65.00,55.00,65.00,65.00,61.00±5.48
65.00,70.00,75.00,80.00,85.00,75.00±7.91
45.00,55.00,50.00,70.00,65.00,57.00±10.37
35.00,85.00,85.00,80.00,85.00,74.00±21.91
95.00,85.00,85.00,90.00,75.00,86.00±7.42
85.00,100.00,75.00,95.00,95.00,90.00±10.00
75.00,90.00,100.00,95.00,80.00,88.00±10.37
55.00,70.00,45.00,75.00,50.00,59.00±12.94
25.00,45.00,45.00,50.00,35.00,40.00±10.00
35.00,45.00,50.00,50.00,60.00,48.00±9.08
100.00,100.00,100.00,100.00,100.00,100.00±0.00
80.00,100.00,85.00,85.00,85.00,87.00±7.58
90.00,85.00,85.00,75.00,60.00,79.00±11.94
80.00,80.00,75.00,90.00,95.00,84.00±8.22
20.00,50.00,40.00,60.00,45.00,43.00±14.83
65.00,90.00,80.00,90.00,70.00,79.00±11.40
65.00,70.00,45.00,65.00,55.00,60.00±10.00
85.00,85.00,75.00,95.00,85.00,85.00±7.07
85.00,80.00,90.00,95.00,95.00,89.00±6.52
50.00,45.00,65.00,70.00,75.00,61.00±12.94
35.00,55.00,70.00,55.00,65.00,56.00±13.42
30.00,35.00,40.00,35.00,10.00,30.00±11.73
90.00,85.00,85.00,70.00,85.00,83.00±7.58
90.00,100.00,95.00,95.00,95.00,95.00±3.54
75.00,80.00,45.00,70.00,80.00,70.00±14.58
45.00,45.00,35.00,30.00,30.00,37.00±7.58
65.00,65.00,55.00,60.00,65.00,62.00±4.47
40.00,70.00,55.00,80.00,50.00,59.00±15.97
40.00,45.00,15.00,25.00,45.00,34.00±13.42
65.28,68.61,68.52,72.59,69.35,68.87±18.31
