Fold1,Mean±Std
74.91,74.91±nan
82.29,82.29±nan
67.27,67.27±nan
95.49,95.49±nan
60.24,60.24±nan
86.02,86.02±nan
100.00,100.00±nan
72.48,72.48±nan
82.90,82.90±nan
83.07,83.07±nan
96.44,96.44±nan
93.75,93.75±nan
76.39,76.39±nan
89.15,89.15±nan
81.77,81.77±nan
90.71,90.71±nan
69.62,69.62±nan
99.22,99.22±nan
64.41,64.41±nan
70.31,70.31±nan
83.85,83.85±nan
61.20,61.20±nan
44.27,44.27±nan
60.76,60.76±nan
87.85,87.85±nan
75.00,75.00±nan
93.14,93.14±nan
81.51,81.51±nan
79.25,79.25±nan
96.44,96.44±nan
97.05,97.05±nan
72.31,72.31±nan
78.91,78.91±nan
46.44,46.44±nan
62.41,62.41±nan
99.22,99.22±nan
98.44,98.44±nan
83.85,83.85±nan
96.09,96.09±nan
74.39,74.39±nan
88.98,88.98±nan
84.46,84.46±nan
98.44,98.44±nan
94.70,94.70±nan
64.06,64.06±nan
87.85,87.85±nan
37.41,37.41±nan
87.85,87.85±nan
99.22,99.22±nan
88.45,88.45±nan
59.29,59.29±nan
87.59,87.59±nan
82.81,82.81±nan
55.64,55.64±nan
80.10,80.10±15.24
