Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
62.50,57.50,51.25,52.50,48.75,54.50±5.49
70.00,67.50,73.75,65.00,70.00,69.25±3.26
46.25,28.75,27.50,45.00,42.50,38.00±9.13
85.00,91.25,93.75,95.00,96.25,92.25±4.45
40.00,33.75,38.75,37.50,25.00,35.00±6.06
70.00,86.25,67.50,76.25,67.50,73.50±7.97
90.00,97.50,97.50,96.25,97.50,95.75±3.26
31.25,41.25,32.50,40.00,26.25,34.25±6.29
43.75,38.75,48.75,46.25,53.75,46.25±5.59
55.00,65.00,43.75,60.00,62.50,57.25±8.40
100.00,100.00,100.00,100.00,100.00,100.00±0.00
93.75,91.25,96.25,96.25,92.50,94.00±2.24
33.75,36.25,32.50,33.75,27.50,32.75±3.24
58.75,66.25,57.50,50.00,48.75,56.25±7.13
40.00,46.25,45.00,42.50,33.75,41.50±4.95
67.50,70.00,70.00,63.75,72.50,68.75±3.31
66.25,55.00,68.75,70.00,70.00,66.00±6.34
93.75,98.75,96.25,96.25,96.25,96.25±1.77
61.25,62.50,73.75,68.75,68.75,67.00±5.12
35.00,35.00,41.25,33.75,37.50,36.50±2.98
61.25,65.00,73.75,63.75,62.50,65.25±4.95
46.25,36.25,42.50,38.75,38.75,40.50±3.91
25.00,32.50,25.00,30.00,25.00,27.50±3.54
56.25,46.25,37.50,43.75,46.25,46.00±6.75
56.25,58.75,63.75,63.75,61.25,60.75±3.26
63.75,46.25,51.25,51.25,48.75,52.25±6.75
83.75,88.75,71.25,85.00,85.00,82.75±6.70
38.75,40.00,40.00,46.25,50.00,43.00±4.89
52.50,47.50,61.25,63.75,56.25,56.25±6.56
93.75,88.75,96.25,86.25,92.50,91.50±3.99
98.75,98.75,100.00,93.75,95.00,97.25±2.71
86.25,86.25,90.00,78.75,87.50,85.75±4.20
32.50,28.75,32.50,27.50,38.75,32.00±4.38
26.25,38.75,22.50,28.75,23.75,28.00±6.47
27.50,28.75,37.50,32.50,32.50,31.75±3.91
98.75,100.00,100.00,100.00,100.00,99.75±0.56
85.00,82.50,87.50,90.00,78.75,84.75±4.37
82.50,88.75,88.75,86.25,80.00,85.25±3.89
60.00,61.25,62.50,51.25,57.50,58.50±4.45
46.25,32.50,40.00,36.25,37.50,38.50±5.11
73.75,75.00,80.00,76.25,78.75,76.75±2.59
57.50,65.00,55.00,51.25,66.25,59.00±6.46
91.25,92.50,90.00,98.75,86.25,91.75±4.56
88.75,92.50,96.25,95.00,91.25,92.75±2.98
33.75,23.75,33.75,40.00,36.25,33.50±6.02
53.75,51.25,50.00,50.00,45.00,50.00±3.19
40.00,31.25,27.50,26.25,31.25,31.25±5.38
38.75,36.25,40.00,45.00,46.25,41.25±4.24
71.25,70.00,75.00,77.50,78.75,74.50±3.81
81.25,78.75,72.50,81.25,80.00,78.75±3.64
32.50,46.25,28.75,36.25,28.75,34.50±7.27
65.00,58.75,58.75,63.75,61.25,61.50±2.85
47.50,45.00,46.25,51.25,46.25,47.25±2.40
38.75,53.75,40.00,38.75,45.00,43.25±6.41
60.72,60.83,60.62,61.06,60.30,60.71±22.74
