Fold1,Mean±Std
53.00,53.00±nan
78.00,78.00±nan
62.00,62.00±nan
98.00,98.00±nan
54.00,54.00±nan
81.00,81.00±nan
89.00,89.00±nan
34.00,34.00±nan
58.00,58.00±nan
59.00,59.00±nan
100.00,100.00±nan
91.00,91.00±nan
50.00,50.00±nan
59.00,59.00±nan
58.00,58.00±nan
65.00,65.00±nan
68.00,68.00±nan
94.00,94.00±nan
80.00,80.00±nan
45.00,45.00±nan
59.00,59.00±nan
47.00,47.00±nan
27.00,27.00±nan
52.00,52.00±nan
74.00,74.00±nan
61.00,61.00±nan
90.00,90.00±nan
46.00,46.00±nan
61.00,61.00±nan
95.00,95.00±nan
81.00,81.00±nan
77.00,77.00±nan
31.00,31.00±nan
42.00,42.00±nan
48.00,48.00±nan
94.00,94.00±nan
82.00,82.00±nan
86.00,86.00±nan
60.00,60.00±nan
57.00,57.00±nan
83.00,83.00±nan
66.00,66.00±nan
83.00,83.00±nan
49.00,49.00±nan
41.00,41.00±nan
61.00,61.00±nan
29.00,29.00±nan
57.00,57.00±nan
83.00,83.00±nan
63.00,63.00±nan
51.00,51.00±nan
51.00,51.00±nan
66.00,66.00±nan
53.00,53.00±nan
64.48,64.48±18.66
