Fold1,Mean±Std
52.00,52.00±nan
70.00,70.00±nan
58.00,58.00±nan
91.00,91.00±nan
48.00,48.00±nan
87.00,87.00±nan
89.00,89.00±nan
36.00,36.00±nan
54.00,54.00±nan
52.00,52.00±nan
100.00,100.00±nan
84.00,84.00±nan
47.00,47.00±nan
59.00,59.00±nan
59.00,59.00±nan
57.00,57.00±nan
57.00,57.00±nan
89.00,89.00±nan
66.00,66.00±nan
51.00,51.00±nan
63.00,63.00±nan
53.00,53.00±nan
32.00,32.00±nan
50.00,50.00±nan
72.00,72.00±nan
54.00,54.00±nan
81.00,81.00±nan
46.00,46.00±nan
61.00,61.00±nan
91.00,91.00±nan
78.00,78.00±nan
83.00,83.00±nan
36.00,36.00±nan
39.00,39.00±nan
43.00,43.00±nan
93.00,93.00±nan
82.00,82.00±nan
94.00,94.00±nan
61.00,61.00±nan
46.00,46.00±nan
80.00,80.00±nan
65.00,65.00±nan
85.00,85.00±nan
43.00,43.00±nan
46.00,46.00±nan
60.00,60.00±nan
26.00,26.00±nan
61.00,61.00±nan
74.00,74.00±nan
61.00,61.00±nan
44.00,44.00±nan
64.00,64.00±nan
47.00,47.00±nan
53.00,53.00±nan
62.46,62.46±18.10
