Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
65.0,90.0,85.0,78.75,80.0,79.75±9.37,49.14±15.97
73.75,77.5,75.0,75.0,86.25,77.50±5.08,44.17±9.24
58.75,65.0,48.75,62.5,50.0,57.00±7.32,17.26±7.20
98.75,100.0,98.75,100.0,98.75,99.25±0.68,96.50±3.20
56.25,51.25,61.25,53.75,25.0,49.50±14.19,12.39±7.82
93.75,93.75,91.25,95.0,93.75,93.50±1.37,77.59±3.65
100.0,97.5,100.0,100.0,98.75,99.25±1.12,96.75±4.74
36.25,60.0,37.5,56.25,46.25,47.25±10.73,9.65±7.87
28.75,66.25,72.5,55.0,67.5,58.00±17.56,21.33±14.01
70.0,51.25,61.25,73.75,63.75,64.00±8.68,25.28±10.16
100.0,100.0,100.0,100.0,100.0,100.00±0.00,100.00±0.00
86.25,93.75,98.75,97.5,87.5,92.75±5.69,77.01±15.28
42.5,58.75,50.0,40.0,36.25,45.50±8.95,8.04±6.55
78.75,80.0,78.75,78.75,87.5,80.75±3.81,49.70±7.45
66.25,70.0,82.5,77.5,81.25,75.50±7.10,41.20±11.19
98.75,98.75,97.5,95.0,98.75,97.75±1.63,90.76±5.43
78.75,78.75,81.25,77.5,85.0,80.25±2.98,48.67±5.55
100.0,100.0,100.0,100.0,98.75,99.75±0.56,98.83±2.61
87.5,73.75,95.0,66.25,76.25,79.75±11.44,50.22±21.89
43.75,35.0,46.25,46.25,46.25,43.50±4.87,6.12±2.52
85.0,90.0,85.0,87.5,75.0,84.50±5.70,57.28±10.87
46.25,62.5,60.0,40.0,56.25,53.00±9.54,13.94±7.95
31.25,21.25,20.0,22.5,33.75,25.75±6.29,0.42±0.62
70.0,58.75,52.5,57.5,46.25,57.00±8.78,17.55±9.21
75.0,82.5,93.75,83.75,78.75,82.75±7.04,54.29±14.67
80.0,65.0,70.0,87.5,60.0,72.50±11.18,37.69±17.63
90.0,92.5,92.5,90.0,96.25,92.25±2.56,74.49±6.89
76.25,75.0,68.75,65.0,43.75,65.75±13.13,28.65±14.28
82.5,92.5,88.75,93.75,95.0,90.50±5.05,70.63±11.66
100.0,100.0,100.0,100.0,100.0,100.00±0.00,100.00±0.00
97.5,98.75,100.0,100.0,100.0,99.25±1.12,96.75±4.74
96.25,98.75,93.75,95.0,96.25,96.00±1.85,85.01±5.95
42.5,50.0,31.25,47.5,61.25,46.50±10.95,9.19±7.61
32.5,33.75,38.75,42.5,45.0,38.50±5.41,3.54±2.47
38.75,55.0,67.5,52.5,67.5,56.25±11.99,17.59±11.05
98.75,100.0,100.0,98.75,98.75,99.25±0.68,96.50±3.20
97.5,98.75,97.5,98.75,98.75,98.25±0.68,92.33±2.51
93.75,92.5,93.75,100.0,98.75,95.75±3.38,85.07±11.24
92.5,83.75,81.25,91.25,88.75,87.50±4.84,63.53±10.54
78.75,60.0,67.5,73.75,41.25,64.25±14.65,27.32±16.03
92.5,92.5,88.75,93.75,88.75,91.25±2.34,71.86±5.77
85.0,71.25,93.75,90.0,85.0,85.00±8.52,59.20±16.52
96.25,97.5,98.75,100.0,100.0,98.50±1.63,93.85±6.40
98.75,100.0,100.0,98.75,98.75,99.25±0.68,96.50±3.20
46.25,53.75,50.0,48.75,53.75,50.50±3.26,10.90±2.62
67.5,86.25,67.5,60.0,76.25,71.50±10.05,35.82±15.71
26.25,36.25,30.0,22.5,23.75,27.75±5.55,0.55±0.97
90.0,82.5,83.75,82.5,88.75,85.50±3.60,58.96±7.63
96.25,100.0,96.25,100.0,100.0,98.50±2.05,94.20±7.95
81.25,95.0,97.5,97.5,95.0,93.25±6.82,78.59±16.28
53.75,50.0,58.75,45.0,47.5,51.00±5.41,11.52±4.60
83.75,88.75,85.0,87.5,86.25,86.25±1.98,60.32±4.19
58.75,72.5,82.5,83.75,71.25,73.75±10.12,39.19±15.05
53.75,56.25,50.0,52.5,57.5,54.00±2.98,13.88±2.70
74.05,76.57,76.78,76.27,75.21,75.78±21.16,51.44±33.19
