Fold1,Fold2,Mean±Std
85.42,91.67,88.54±4.42
75.00,77.08,76.04±1.47
64.58,60.42,62.50±2.95
97.92,100.00,98.96±1.47
68.75,64.58,66.67±2.95
93.75,81.25,87.50±8.84
97.92,97.92,97.92±0.00
41.67,47.92,44.79±4.42
85.42,89.58,87.50±2.95
47.92,56.25,52.08±5.89
100.00,100.00,100.00±0.00
85.42,91.67,88.54±4.42
37.50,58.33,47.92±14.73
91.67,85.42,88.54±4.42
75.00,81.25,78.12±4.42
100.00,100.00,100.00±0.00
85.42,83.33,84.38±1.47
97.92,100.00,98.96±1.47
68.75,81.25,75.00±8.84
35.42,43.75,39.58±5.89
89.58,89.58,89.58±0.00
68.75,62.50,65.62±4.42
27.08,20.83,23.96±4.42
64.58,56.25,60.42±5.89
91.67,83.33,87.50±5.89
64.58,58.33,61.46±4.42
89.58,87.50,88.54±1.47
70.83,83.33,77.08±8.84
83.33,77.08,80.21±4.42
100.00,97.92,98.96±1.47
97.92,100.00,98.96±1.47
97.92,100.00,98.96±1.47
29.17,52.08,40.62±16.20
47.92,43.75,45.83±2.95
64.58,56.25,60.42±5.89
97.92,100.00,98.96±1.47
97.92,95.83,96.88±1.47
95.83,87.50,91.67±5.89
89.58,97.92,93.75±5.89
81.25,81.25,81.25±0.00
89.58,85.42,87.50±2.95
91.67,83.33,87.50±5.89
95.83,97.92,96.88±1.47
93.75,100.00,96.88±4.42
56.25,56.25,56.25±0.00
79.17,89.58,84.38±7.37
18.75,33.33,26.04±10.31
95.83,83.33,89.58±8.84
100.00,100.00,100.00±0.00
85.42,81.25,83.33±2.95
45.83,52.08,48.96±4.42
97.92,93.75,95.83±2.95
87.50,87.50,87.50±0.00
54.17,52.08,53.12±1.47
77.35,78.12,77.74±20.75
