Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
90.00,85.00,90.00,95.00,80.00,88.00±5.70
90.00,85.00,85.00,80.00,85.00,85.00±3.54
65.00,65.00,85.00,75.00,70.00,72.00±8.37
100.00,100.00,100.00,100.00,100.00,100.00±0.00
85.00,55.00,70.00,75.00,35.00,64.00±19.49
90.00,95.00,100.00,95.00,85.00,93.00±5.70
100.00,100.00,100.00,95.00,100.00,99.00±2.24
50.00,55.00,60.00,75.00,70.00,62.00±10.37
85.00,90.00,85.00,80.00,90.00,86.00±4.18
70.00,65.00,55.00,55.00,50.00,59.00±8.22
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,95.00,100.00,100.00,95.00,96.00±4.18
70.00,65.00,60.00,55.00,60.00,62.00±5.70
100.00,100.00,95.00,85.00,90.00,94.00±6.52
75.00,85.00,90.00,85.00,65.00,80.00±10.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,85.00,75.00,90.00,95.00,87.00±7.58
95.00,100.00,100.00,100.00,100.00,99.00±2.24
80.00,80.00,85.00,90.00,95.00,86.00±6.52
60.00,70.00,70.00,65.00,40.00,61.00±12.45
80.00,100.00,95.00,95.00,100.00,94.00±8.22
65.00,90.00,70.00,70.00,65.00,72.00±10.37
45.00,30.00,40.00,50.00,20.00,37.00±12.04
85.00,75.00,60.00,60.00,50.00,66.00±13.87
100.00,90.00,100.00,95.00,90.00,95.00±5.00
80.00,65.00,65.00,90.00,60.00,72.00±12.55
95.00,80.00,90.00,100.00,80.00,89.00±8.94
55.00,80.00,90.00,85.00,80.00,78.00±13.51
75.00,95.00,95.00,90.00,80.00,87.00±9.08
100.00,100.00,95.00,100.00,100.00,99.00±2.24
100.00,95.00,100.00,100.00,100.00,99.00±2.24
95.00,100.00,100.00,100.00,95.00,98.00±2.74
40.00,65.00,60.00,65.00,75.00,61.00±12.94
50.00,55.00,65.00,65.00,45.00,56.00±8.94
60.00,75.00,70.00,85.00,75.00,73.00±9.08
95.00,100.00,100.00,100.00,100.00,99.00±2.24
95.00,100.00,100.00,95.00,100.00,98.00±2.74
90.00,95.00,100.00,100.00,95.00,96.00±4.18
100.00,90.00,100.00,100.00,100.00,98.00±4.47
95.00,85.00,80.00,80.00,90.00,86.00±6.52
95.00,100.00,85.00,95.00,80.00,91.00±8.22
90.00,90.00,85.00,85.00,85.00,87.00±2.74
90.00,100.00,100.00,90.00,100.00,96.00±5.48
90.00,95.00,100.00,100.00,100.00,97.00±4.47
55.00,65.00,65.00,75.00,70.00,66.00±7.42
90.00,85.00,90.00,95.00,80.00,88.00±5.70
10.00,25.00,60.00,30.00,35.00,32.00±18.23
100.00,95.00,90.00,90.00,85.00,92.00±5.70
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,90.00,80.00,100.00,100.00,92.00±8.37
65.00,60.00,65.00,40.00,65.00,59.00±10.84
100.00,100.00,100.00,95.00,95.00,98.00±2.74
75.00,90.00,90.00,85.00,100.00,88.00±9.08
75.00,80.00,55.00,50.00,80.00,68.00±14.40
81.67,83.61,84.17,84.26,81.11,82.96±16.69
