Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
85.00,71.25,86.25,82.50,73.75,79.75±6.81
66.25,73.75,80.00,83.75,80.00,76.75±6.88
53.75,58.75,58.75,51.25,62.50,57.00±4.47
93.75,96.25,93.75,96.25,93.75,94.75±1.37
56.25,52.50,56.25,61.25,55.00,56.25±3.19
87.50,88.75,87.50,82.50,83.75,86.00±2.71
93.75,98.75,96.25,100.00,97.50,97.25±2.40
67.50,70.00,76.25,72.50,68.75,71.00±3.47
62.50,70.00,77.50,80.00,70.00,72.00±6.94
60.00,81.25,86.25,73.75,73.75,75.00±9.92
100.00,98.75,100.00,98.75,100.00,99.50±0.68
86.25,92.50,88.75,88.75,90.00,89.25±2.27
52.50,52.50,70.00,56.25,60.00,58.25±7.27
82.50,87.50,78.75,83.75,85.00,83.50±3.24
83.75,73.75,81.25,78.75,70.00,77.50±5.59
87.50,95.00,96.25,93.75,88.75,92.25±3.89
86.25,73.75,77.50,77.50,82.50,79.50±4.89
95.00,95.00,96.25,97.50,96.25,96.00±1.05
80.00,78.75,65.00,67.50,61.25,70.50±8.41
50.00,58.75,52.50,48.75,62.50,54.50±5.90
75.00,70.00,81.25,80.00,78.75,77.00±4.56
57.50,62.50,68.75,52.50,47.50,57.75±8.31
26.25,36.25,28.75,31.25,27.50,30.00±3.95
60.00,58.75,58.75,58.75,53.75,58.00±2.44
72.50,86.25,81.25,86.25,75.00,80.25±6.34
70.00,67.50,52.50,52.50,57.50,60.00±8.29
81.25,85.00,83.75,83.75,82.50,83.25±1.43
62.50,71.25,67.50,65.00,75.00,68.25±4.97
66.25,77.50,86.25,76.25,78.75,77.00±7.16
98.75,96.25,98.75,96.25,96.25,97.25±1.37
90.00,100.00,98.75,88.75,97.50,95.00±5.23
98.75,95.00,97.50,97.50,97.50,97.25±1.37
71.25,81.25,86.25,78.75,65.00,76.50±8.40
36.25,37.50,23.75,32.50,32.50,32.50±5.38
30.00,53.75,56.25,46.25,56.25,48.50±11.12
98.75,100.00,100.00,100.00,100.00,99.75±0.56
95.00,93.75,95.00,92.50,95.00,94.25±1.12
88.75,92.50,90.00,91.25,83.75,89.25±3.38
91.25,92.50,93.75,93.75,90.00,92.25±1.63
70.00,66.25,66.25,72.50,66.25,68.25±2.88
91.25,90.00,83.75,88.75,83.75,87.50±3.54
66.25,68.75,73.75,81.25,73.75,72.75±5.76
98.75,97.50,96.25,98.75,96.25,97.50±1.25
88.75,96.25,93.75,93.75,92.50,93.00±2.74
50.00,57.50,56.25,63.75,40.00,53.50±8.99
71.25,72.50,70.00,63.75,73.75,70.25±3.89
27.50,32.50,38.75,25.00,37.50,32.25±6.02
87.50,91.25,92.50,88.75,80.00,88.00±4.89
97.50,97.50,100.00,100.00,97.50,98.50±1.37
83.75,93.75,95.00,88.75,88.75,90.00±4.51
52.50,53.75,45.00,46.25,35.00,46.50±7.47
90.00,92.50,87.50,85.00,77.50,86.50±5.76
77.50,86.25,75.00,73.75,75.00,77.50±5.08
52.50,50.00,30.00,42.50,51.25,45.25±9.37
74.17,77.25,76.99,75.76,74.33,75.70±18.54
