Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
46.25,35.0,41.25,36.25,43.75,40.50±4.81,4.84±2.69
50.0,42.5,56.25,40.0,47.5,47.25±6.40,9.58±5.16
42.5,21.25,28.75,33.75,36.25,32.50±8.00,1.99±2.30
75.0,80.0,80.0,82.5,75.0,78.50±3.35,49.75±6.30
30.0,23.75,37.5,33.75,22.5,29.50±6.41,1.00±1.27
60.0,50.0,52.5,55.0,43.75,52.25±6.02,13.80±5.57
57.5,65.0,68.75,65.0,67.5,64.75±4.37,27.81±5.59
30.0,27.5,25.0,25.0,30.0,27.50±2.50,0.23±0.26
35.0,21.25,26.25,21.25,47.5,30.25±11.16,2.25±4.01
52.5,45.0,35.0,42.5,43.75,43.75±6.25,7.03±4.21
91.25,96.25,95.0,93.75,95.0,94.25±1.90,87.01±5.68
50.0,45.0,51.25,61.25,46.25,50.75±6.41,12.50±6.26
31.25,33.75,23.75,28.75,23.75,28.25±4.47,0.51±0.64
32.5,41.25,31.25,38.75,30.0,34.75±4.95,2.19±1.98
36.25,37.5,26.25,37.5,32.5,34.00±4.79,1.92±1.31
56.25,57.5,51.25,48.75,47.5,52.25±4.45,13.59±4.22
50.0,50.0,55.0,56.25,52.5,52.75±2.85,13.92±2.73
77.5,92.5,90.0,90.0,92.5,88.50±6.27,72.14±14.09
42.5,45.0,58.75,50.0,43.75,48.00±6.65,10.21±5.93
23.75,20.0,27.5,22.5,37.5,26.25±6.85,0.63±1.33
50.0,46.25,43.75,50.0,48.75,47.75±2.71,9.55±2.09
33.75,31.25,23.75,30.0,27.5,29.25±3.81,0.58±0.60
25.0,32.5,33.75,26.25,25.0,28.50±4.28,0.53±0.72
38.75,33.75,36.25,42.5,26.25,35.50±6.10,2.66±2.15
27.5,38.75,40.0,45.0,42.5,38.75±6.73,4.22±2.71
37.5,25.0,32.5,33.75,26.25,31.00±5.26,1.13±1.24
61.25,51.25,47.5,50.0,60.0,54.00±6.21,15.52±6.32
26.25,43.75,31.25,28.75,28.75,31.75±6.94,1.58±2.78
36.25,28.75,36.25,36.25,30.0,33.50±3.79,1.63±1.13
76.25,76.25,72.5,76.25,75.0,75.25±1.63,43.70±2.78
72.5,76.25,82.5,78.75,71.25,76.25±4.59,45.79±8.32
67.5,71.25,75.0,65.0,75.0,70.75±4.47,36.55±6.92
32.5,35.0,25.0,37.5,31.25,32.25±4.71,1.37±1.15
18.75,23.75,17.5,22.5,16.25,19.75±3.24,0.00±0.00
32.5,27.5,22.5,40.0,31.25,30.75±6.47,1.26±1.74
82.5,90.0,90.0,90.0,90.0,88.50±3.35,71.39±7.78
73.75,62.5,68.75,68.75,55.0,65.75±7.21,29.63±9.58
58.75,61.25,62.5,55.0,61.25,59.75±2.98,21.37±3.40
42.5,45.0,38.75,33.75,41.25,40.25±4.28,4.64±2.22
41.25,23.75,40.0,33.75,35.0,34.75±6.93,2.53±2.04
55.0,65.0,58.75,62.5,55.0,59.25±4.47,20.93±5.26
33.75,48.75,42.5,35.0,40.0,40.00±6.06,4.74±3.53
76.25,67.5,52.5,70.0,63.75,66.00±8.81,30.34±11.71
62.5,68.75,68.75,61.25,68.75,66.00±3.79,29.45±5.16
26.25,23.75,27.5,32.5,23.75,26.75±3.60,0.25±0.48
32.5,32.5,37.5,26.25,30.0,31.75±4.11,1.15±1.13
28.75,30.0,22.5,26.25,25.0,26.50±2.98,0.16±0.22
27.5,37.5,37.5,35.0,36.25,34.75±4.18,2.10±1.19
72.5,68.75,70.0,75.0,67.5,70.75±3.01,36.38±4.76
46.25,46.25,46.25,47.5,55.0,48.25±3.81,10.04±3.38
28.75,28.75,22.5,28.75,21.25,26.00±3.79,0.17±0.16
38.75,26.25,40.0,42.5,28.75,35.25±7.26,2.78±2.51
33.75,37.5,36.25,26.25,35.0,33.75±4.42,1.79±1.13
32.5,27.5,28.75,26.25,41.25,31.25±6.06,1.31±2.09
46.3,45.6,45.79,46.32,45.32,45.87±18.65,14.26±20.14
