Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
90.00,88.75,88.75,90.00,90.00,89.50±0.68
95.00,95.00,90.00,95.00,92.50,93.50±2.24
62.50,71.25,72.50,72.50,68.75,69.50±4.20
100.00,100.00,92.50,100.00,96.25,97.75±3.35
66.25,68.75,70.00,63.75,53.75,64.50±6.47
96.25,92.50,92.50,95.00,96.25,94.50±1.90
100.00,100.00,100.00,100.00,100.00,100.00±0.00
85.00,86.25,83.75,87.50,80.00,84.50±2.88
88.75,90.00,82.50,90.00,82.50,86.75±3.91
85.00,90.00,90.00,83.75,88.75,87.50±2.93
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,98.75,98.75,97.50,98.75,98.75±0.88
63.75,76.25,80.00,68.75,86.25,75.00±8.93
92.50,96.25,92.50,93.75,95.00,94.00±1.63
92.50,95.00,92.50,93.75,92.50,93.25±1.12
98.75,97.50,100.00,97.50,97.50,98.25±1.12
83.75,75.00,83.75,88.75,82.50,82.75±4.95
100.00,97.50,98.75,100.00,97.50,98.75±1.25
98.75,90.00,98.75,95.00,93.75,95.25±3.69
65.00,73.75,75.00,70.00,67.50,70.25±4.18
90.00,87.50,92.50,88.75,88.75,89.50±1.90
75.00,63.75,65.00,57.50,65.00,65.25±6.27
32.50,25.00,32.50,40.00,31.25,32.25±5.33
76.25,87.50,82.50,85.00,75.00,81.25±5.45
90.00,98.75,95.00,95.00,91.25,94.00±3.47
87.50,90.00,88.75,93.75,83.75,88.75±3.64
95.00,97.50,93.75,96.25,95.00,95.50±1.43
81.25,88.75,92.50,83.75,81.25,85.50±4.97
86.25,88.75,96.25,91.25,91.25,90.75±3.71
100.00,100.00,98.75,100.00,100.00,99.75±0.56
100.00,100.00,100.00,95.00,100.00,99.00±2.24
100.00,100.00,100.00,100.00,98.75,99.75±0.56
82.50,95.00,92.50,92.50,90.00,90.50±4.81
48.75,46.25,50.00,56.25,55.00,51.25±4.24
41.25,68.75,48.75,71.25,47.50,55.50±13.57
96.25,98.75,100.00,100.00,100.00,99.00±1.63
97.50,97.50,97.50,96.25,98.75,97.50±0.88
100.00,98.75,98.75,98.75,100.00,99.25±0.68
97.50,96.25,93.75,92.50,91.25,94.25±2.59
81.25,77.50,73.75,76.25,71.25,76.00±3.79
90.00,92.50,93.75,86.25,96.25,91.75±3.81
92.50,93.75,95.00,91.25,96.25,93.75±1.98
100.00,100.00,100.00,100.00,100.00,100.00±0.00
98.75,100.00,98.75,98.75,100.00,99.25±0.68
66.25,71.25,76.25,63.75,68.75,69.25±4.81
93.75,80.00,81.25,88.75,91.25,87.00±6.10
32.50,30.00,46.25,27.50,33.75,34.00±7.26
92.50,95.00,96.25,95.00,96.25,95.00±1.53
98.75,97.50,98.75,100.00,98.75,98.75±0.88
95.00,97.50,98.75,93.75,91.25,95.25±2.98
66.25,70.00,58.75,62.50,65.00,64.50±4.20
98.75,98.75,96.25,96.25,98.75,97.75±1.37
86.25,97.50,96.25,93.75,95.00,93.75±4.42
71.25,61.25,71.25,65.00,60.00,65.75±5.35
85.28,86.55,86.71,86.20,85.30,86.01±16.22
