Fold1,Mean±Std
77.00,77.00±nan
93.00,93.00±nan
72.00,72.00±nan
97.00,97.00±nan
67.00,67.00±nan
91.00,91.00±nan
100.00,100.00±nan
68.00,68.00±nan
87.00,87.00±nan
80.00,80.00±nan
100.00,100.00±nan
98.00,98.00±nan
70.00,70.00±nan
92.00,92.00±nan
93.00,93.00±nan
96.00,96.00±nan
76.00,76.00±nan
97.00,97.00±nan
83.00,83.00±nan
75.00,75.00±nan
82.00,82.00±nan
67.00,67.00±nan
29.00,29.00±nan
79.00,79.00±nan
95.00,95.00±nan
85.00,85.00±nan
95.00,95.00±nan
86.00,86.00±nan
80.00,80.00±nan
98.00,98.00±nan
100.00,100.00±nan
85.00,85.00±nan
82.00,82.00±nan
52.00,52.00±nan
51.00,51.00±nan
100.00,100.00±nan
98.00,98.00±nan
93.00,93.00±nan
95.00,95.00±nan
68.00,68.00±nan
91.00,91.00±nan
95.00,95.00±nan
100.00,100.00±nan
99.00,99.00±nan
68.00,68.00±nan
94.00,94.00±nan
33.00,33.00±nan
94.00,94.00±nan
97.00,97.00±nan
92.00,92.00±nan
55.00,55.00±nan
95.00,95.00±nan
92.00,92.00±nan
63.00,63.00±nan
83.33,83.33±16.69
