Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
85.00,75.00,81.25,88.75,81.25,82.25±5.11
78.75,70.00,67.50,87.50,78.75,76.50±7.97
57.50,61.25,62.50,56.25,62.50,60.00±2.93
95.00,96.25,92.50,95.00,96.25,95.00±1.53
58.75,58.75,56.25,62.50,50.00,57.25±4.63
85.00,88.75,85.00,81.25,82.50,84.50±2.88
98.75,96.25,97.50,98.75,95.00,97.25±1.63
68.75,71.25,73.75,76.25,66.25,71.25±3.95
72.50,67.50,67.50,73.75,70.00,70.25±2.85
78.75,86.25,76.25,72.50,81.25,79.00±5.18
98.75,98.75,98.75,98.75,100.00,99.00±0.56
90.00,91.25,87.50,91.25,93.75,90.75±2.27
67.50,53.75,70.00,56.25,63.75,62.25±7.04
75.00,88.75,80.00,80.00,88.75,82.50±6.06
83.75,77.50,73.75,78.75,71.25,77.00±4.81
92.50,93.75,95.00,93.75,86.25,92.25±3.47
83.75,80.00,80.00,80.00,85.00,81.75±2.44
98.75,96.25,96.25,98.75,96.25,97.25±1.37
81.25,80.00,77.50,71.25,63.75,74.75±7.26
60.00,52.50,56.25,58.75,50.00,55.50±4.20
72.50,80.00,85.00,78.75,77.50,78.75±4.51
62.50,65.00,61.25,56.25,57.50,60.50±3.60
30.00,35.00,27.50,38.75,31.25,32.50±4.42
60.00,66.25,58.75,50.00,61.25,59.25±5.90
71.25,91.25,81.25,90.00,73.75,81.50±9.12
58.75,67.50,55.00,48.75,51.25,56.25±7.34
83.75,85.00,86.25,88.75,81.25,85.00±2.80
62.50,75.00,68.75,65.00,65.00,67.25±4.87
68.75,87.50,90.00,80.00,80.00,81.25±8.29
97.50,97.50,98.75,98.75,96.25,97.75±1.05
85.00,100.00,97.50,90.00,96.25,93.75±6.12
95.00,91.25,98.75,95.00,96.25,95.25±2.71
75.00,70.00,86.25,83.75,62.50,75.50±9.79
33.75,37.50,27.50,37.50,16.25,30.50±8.95
36.25,50.00,60.00,43.75,58.75,49.75±10.05
96.25,100.00,98.75,97.50,100.00,98.50±1.63
95.00,96.25,96.25,93.75,91.25,94.50±2.09
90.00,88.75,91.25,86.25,90.00,89.25±1.90
90.00,56.25,90.00,92.50,92.50,84.25±15.70
77.50,70.00,62.50,80.00,70.00,72.00±6.94
90.00,86.25,86.25,87.50,87.50,87.50±1.53
73.75,81.25,76.25,68.75,73.75,74.75±4.54
97.50,98.75,98.75,95.00,97.50,97.50±1.53
91.25,97.50,95.00,93.75,95.00,94.50±2.27
60.00,48.75,56.25,50.00,43.75,51.75±6.41
67.50,76.25,78.75,68.75,73.75,73.00±4.81
26.25,27.50,35.00,25.00,35.00,29.75±4.87
91.25,86.25,90.00,85.00,82.50,87.00±3.60
100.00,100.00,100.00,98.75,98.75,99.50±0.68
80.00,93.75,95.00,88.75,88.75,89.25±5.90
32.50,47.50,50.00,53.75,30.00,42.75±10.77
92.50,90.00,82.50,85.00,81.25,86.25±4.84
77.50,85.00,66.25,67.50,77.50,74.75±7.83
48.75,52.50,35.00,58.75,43.75,47.75±8.99
75.56,77.13,76.69,76.32,74.44,76.03±18.42
