Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
36.25,46.25,42.5,51.25,18.75,39.00±12.57,6.36±5.36
61.25,41.25,50.0,38.75,40.0,46.25±9.48,10.38±9.03
30.0,33.75,37.5,40.0,42.5,36.75±4.97,3.30±2.30
75.0,81.25,76.25,85.0,77.5,79.00±4.09,55.90±8.84
37.5,26.25,45.0,48.75,37.5,39.00±8.63,5.21±4.46
65.0,67.5,85.0,65.0,62.5,69.00±9.12,38.41±17.38
71.25,75.0,81.25,80.0,78.75,77.25±4.09,52.27±8.03
37.5,33.75,32.5,40.0,40.0,36.75±3.49,3.11±1.63
42.5,28.75,48.75,58.75,37.5,43.25±11.34,8.66±8.54
47.5,52.5,56.25,41.25,48.75,49.25±5.63,12.19±5.12
93.75,100.0,92.5,96.25,96.25,95.75±2.88,101.76±11.62
63.75,82.5,77.5,68.75,70.0,72.50±7.45,43.92±13.74
33.75,53.75,35.0,33.75,36.25,38.50±8.59,4.88±6.38
36.25,43.75,46.25,43.75,42.5,42.50±3.75,6.50±2.37
46.25,35.0,31.25,55.0,33.75,40.25±10.05,6.28±7.16
72.5,62.5,58.75,72.5,65.0,66.25±6.12,33.14±9.44
41.25,61.25,35.0,41.25,50.0,45.75±10.18,10.18±9.28
78.75,80.0,76.25,80.0,86.25,80.25±3.69,58.51±8.30
36.25,45.0,35.0,40.0,38.75,39.00±3.89,4.32±2.35
33.75,21.25,40.0,25.0,30.0,30.00±7.34,1.38±1.97
52.5,80.0,70.0,61.25,66.25,66.00±10.21,33.82±15.98
52.5,48.75,48.75,42.5,37.5,46.00±5.96,9.42±4.60
28.75,31.25,27.5,26.25,30.0,28.75±1.98,0.38±0.33
40.0,28.75,40.0,32.5,38.75,36.00±5.11,2.97±2.06
50.0,42.5,70.0,48.75,48.75,52.00±10.48,15.98±12.86
43.75,37.5,37.5,36.25,31.25,37.25±4.45,3.47±2.31
48.75,53.75,52.5,53.75,50.0,51.75±2.27,14.24±2.27
42.5,47.5,40.0,35.0,38.75,40.75±4.64,5.45±3.04
51.25,48.75,50.0,56.25,61.25,53.50±5.18,16.37±5.84
77.5,80.0,72.5,73.75,60.0,72.75±7.73,44.39±12.96
83.75,83.75,85.0,73.75,80.0,81.25±4.59,60.86±9.74
71.25,70.0,77.5,73.75,71.25,72.75±2.98,43.54±5.53
45.0,28.75,25.0,32.5,33.75,33.00±7.53,2.26±3.35
23.75,31.25,31.25,35.0,37.5,31.75±5.20,1.43±1.29
31.25,37.5,32.5,37.5,27.5,33.25±4.29,1.76±1.45
85.0,95.0,87.5,93.75,90.0,90.25±4.18,83.77±12.14
58.75,50.0,55.0,46.25,55.0,53.00±4.89,15.79±5.06
40.0,36.25,42.5,58.75,31.25,41.75±10.41,7.33±8.51
42.5,60.0,47.5,50.0,57.5,51.50±7.20,14.64±7.27
41.25,36.25,31.25,28.75,28.75,33.25±5.42,1.93±2.20
51.25,70.0,61.25,47.5,38.75,53.75±12.15,18.35±13.73
42.5,43.75,38.75,41.25,35.0,40.25±3.47,5.01±1.99
67.5,85.0,83.75,86.25,77.5,80.00±7.76,58.90±15.59
57.5,48.75,67.5,75.0,77.5,65.25±12.07,33.27±17.45
37.5,36.25,35.0,45.0,38.75,38.50±3.89,4.04±2.38
36.25,41.25,41.25,32.5,35.0,37.25±3.89,3.40±1.96
21.25,23.75,25.0,22.5,33.75,25.25±4.95,0.33±0.74
50.0,40.0,45.0,45.0,35.0,43.00±5.70,7.11±3.91
68.75,67.5,80.0,91.25,76.25,76.75±9.63,52.93±20.82
55.0,41.25,43.75,57.5,60.0,51.50±8.45,14.91±8.15
32.5,40.0,35.0,27.5,36.25,34.25±4.64,2.18±1.70
37.5,57.5,48.75,43.75,58.75,49.25±9.04,12.89±8.23
45.0,40.0,31.25,38.75,33.75,37.75±5.41,3.86±2.86
30.0,25.0,32.5,30.0,40.0,31.50±5.48,1.40±1.88
49.68,51.09,51.39,51.57,49.7,50.69±17.70,19.72±23.23
