Fold1,Fold2,Mean±Std
86.67,87.50,87.08±0.59
80.00,91.67,85.83±8.25
70.83,60.00,65.42±7.66
93.33,96.67,95.00±2.36
51.67,64.17,57.92±8.84
98.33,85.83,92.08±8.84
98.33,95.00,96.67±2.36
83.33,78.33,80.83±3.54
80.83,85.83,83.33±3.54
82.50,90.83,86.67±5.89
100.00,98.33,99.17±1.18
95.00,98.33,96.67±2.36
80.83,70.83,75.83±7.07
93.33,75.83,84.58±12.37
74.17,84.17,79.17±7.07
91.67,95.00,93.33±2.36
86.67,81.67,84.17±3.54
96.67,100.00,98.33±2.36
75.00,67.50,71.25±5.30
76.67,70.83,73.75±4.12
80.83,86.67,83.75±4.12
72.50,67.50,70.00±3.54
43.33,35.83,39.58±5.30
65.83,71.67,68.75±4.12
83.33,93.33,88.33±7.07
85.00,70.00,77.50±10.61
91.67,93.33,92.50±1.18
75.00,82.50,78.75±5.30
80.83,74.17,77.50±4.71
96.67,98.33,97.50±1.18
96.67,100.00,98.33±2.36
98.33,98.33,98.33±0.00
85.00,77.50,81.25±5.30
48.33,51.67,50.00±2.36
56.67,75.00,65.83±12.96
100.00,100.00,100.00±0.00
95.00,96.67,95.83±1.18
93.33,90.00,91.67±2.36
93.33,90.00,91.67±2.36
82.50,67.50,75.00±10.61
96.67,90.83,93.75±4.12
74.17,80.83,77.50±4.71
98.33,98.33,98.33±0.00
95.00,100.00,97.50±3.54
60.83,70.00,65.42±6.48
95.83,90.83,93.33±3.54
36.67,30.83,33.75±4.12
88.33,90.00,89.17±1.18
98.33,100.00,99.17±1.18
95.00,96.67,95.83±1.18
48.33,57.50,52.92±6.48
96.67,89.17,92.92±5.30
94.17,85.00,89.58±6.48
66.67,50.83,58.75±11.20
82.69,82.02,82.35±15.62
