Fold1,Fold2,Mean±Std
82.50,41.67,62.08±28.87
85.00,66.67,75.83±12.96
37.50,54.17,45.83±11.79
87.50,98.33,92.92±7.66
39.17,54.17,46.67±10.61
96.67,85.83,91.25±7.66
100.00,100.00,100.00±0.00
70.00,88.33,79.17±12.96
87.50,96.67,92.08±6.48
85.83,80.83,83.33±3.54
100.00,100.00,100.00±0.00
98.33,100.00,99.17±1.18
69.17,71.67,70.42±1.77
74.17,60.83,67.50±9.43
86.67,70.83,78.75±11.20
98.33,82.50,90.42±11.20
64.17,62.50,63.33±1.18
98.33,100.00,99.17±1.18
60.00,53.33,56.67±4.71
66.67,65.83,66.25±0.59
82.50,83.33,82.92±0.59
67.50,56.67,62.08±7.66
40.00,30.00,35.00±7.07
51.67,64.17,57.92±8.84
89.17,94.17,91.67±3.54
88.33,75.83,82.08±8.84
96.67,95.83,96.25±0.59
65.00,78.33,71.67±9.43
78.33,80.00,79.17±1.18
95.00,100.00,97.50±3.54
100.00,98.33,99.17±1.18
96.67,95.00,95.83±1.18
52.50,64.17,58.33±8.25
40.83,47.50,44.17±4.71
40.83,35.83,38.33±3.54
100.00,100.00,100.00±0.00
98.33,98.33,98.33±0.00
75.00,73.33,74.17±1.18
90.00,88.33,89.17±1.18
55.00,60.00,57.50±3.54
92.50,90.00,91.25±1.77
90.83,75.00,82.92±11.20
100.00,98.33,99.17±1.18
98.33,100.00,99.17±1.18
48.33,66.67,57.50±12.96
70.00,75.83,72.92±4.12
19.17,24.17,21.67±3.54
82.50,75.83,79.17±4.71
96.67,89.17,92.92±5.30
93.33,82.50,87.92±7.66
32.50,59.17,45.83±18.86
65.00,75.83,70.42±7.66
53.33,60.00,56.67±4.71
44.17,59.17,51.67±10.61
75.51,75.65,75.58±20.03
