Fold1,Mean±Std
79.69,79.69±nan
70.05,70.05±nan
60.42,60.42±nan
96.09,96.09±nan
65.36,65.36±nan
81.34,81.34±nan
95.49,95.49±nan
75.87,75.87±nan
68.32,68.32±nan
76.04,76.04±nan
95.66,95.66±nan
85.42,85.42±nan
61.63,61.63±nan
88.02,88.02±nan
77.00,77.00±nan
89.76,89.76±nan
77.34,77.34±nan
94.53,94.53±nan
52.26,52.26±nan
66.75,66.75±nan
74.83,74.83±nan
54.69,54.69±nan
37.33,37.33±nan
60.50,60.50±nan
78.21,78.21±nan
66.93,66.93±nan
86.11,86.11±nan
77.60,77.60±nan
67.27,67.27±nan
95.66,95.66±nan
89.41,89.41±nan
61.11,61.11±nan
74.13,74.13±nan
41.32,41.32±nan
57.03,57.03±nan
99.22,99.22±nan
96.88,96.88±nan
81.86,81.86±nan
93.14,93.14±nan
65.36,65.36±nan
83.85,83.85±nan
84.46,84.46±nan
96.88,96.88±nan
94.10,94.10±nan
54.51,54.51±nan
77.43,77.43±nan
30.73,30.73±nan
88.45,88.45±nan
97.66,97.66±nan
76.30,76.30±nan
47.83,47.83±nan
80.03,80.03±nan
72.22,72.22±nan
43.92,43.92±nan
74.89,74.89±16.85
