Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
82.50,72.50,75.00,87.50,66.25,76.75±8.37
73.75,77.50,77.50,80.00,82.50,78.25±3.26
52.50,56.25,52.50,60.00,60.00,56.25±3.75
93.75,93.75,86.25,92.50,87.50,90.75±3.60
60.00,46.25,47.50,61.25,52.50,53.50±6.93
87.50,83.75,85.00,83.75,87.50,85.50±1.90
96.25,96.25,96.25,97.50,98.75,97.00±1.12
67.50,66.25,66.25,75.00,53.75,65.75±7.63
70.00,76.25,65.00,62.50,72.50,69.25±5.56
65.00,80.00,85.00,76.25,72.50,75.75±7.58
98.75,98.75,98.75,98.75,100.00,99.00±0.56
82.50,91.25,88.75,88.75,88.75,88.00±3.26
56.25,50.00,61.25,52.50,51.25,54.25±4.56
83.75,83.75,83.75,80.00,85.00,83.25±1.90
73.75,66.25,73.75,71.25,73.75,71.75±3.26
88.75,92.50,95.00,88.75,83.75,89.75±4.28
75.00,82.50,75.00,78.75,81.25,78.50±3.47
95.00,96.25,96.25,96.25,97.50,96.25±0.88
78.75,72.50,72.50,68.75,62.50,71.00±5.96
48.75,52.50,62.50,55.00,46.25,53.00±6.29
71.25,65.00,83.75,81.25,72.50,74.75±7.68
56.25,57.50,65.00,53.75,46.25,55.75±6.77
37.50,30.00,26.25,36.25,35.00,33.00±4.73
55.00,62.50,48.75,58.75,61.25,57.25±5.55
75.00,85.00,82.50,88.75,73.75,81.00±6.46
56.25,65.00,55.00,62.50,52.50,58.25±5.27
86.25,90.00,76.25,82.50,81.25,83.25±5.20
66.25,77.50,67.50,71.25,62.50,69.00±5.69
66.25,82.50,81.25,85.00,72.50,77.50±7.86
96.25,97.50,98.75,97.50,97.50,97.50±0.88
86.25,97.50,95.00,86.25,95.00,92.00±5.35
96.25,98.75,92.50,98.75,97.50,96.75±2.59
68.75,70.00,78.75,70.00,70.00,71.50±4.09
25.00,28.75,31.25,41.25,28.75,31.00±6.15
42.50,58.75,61.25,51.25,61.25,55.00±8.10
93.75,100.00,100.00,100.00,98.75,98.50±2.71
95.00,92.50,95.00,93.75,95.00,94.25±1.12
91.25,93.75,92.50,86.25,86.25,90.00±3.54
91.25,85.00,92.50,92.50,90.00,90.25±3.11
73.75,63.75,68.75,71.25,58.75,67.25±6.02
88.75,87.50,82.50,86.25,80.00,85.00±3.64
72.50,73.75,60.00,78.75,70.00,71.00±6.93
97.50,96.25,97.50,100.00,96.25,97.50±1.53
78.75,93.75,87.50,90.00,92.50,88.50±5.96
52.50,51.25,61.25,45.00,48.75,51.75±6.03
65.00,75.00,68.75,66.25,76.25,70.25±5.11
23.75,25.00,38.75,22.50,26.25,27.25±6.58
85.00,83.75,87.50,78.75,76.25,82.25±4.63
98.75,100.00,98.75,98.75,97.50,98.75±0.88
82.50,95.00,96.25,91.25,88.75,90.75±5.49
40.00,41.25,40.00,47.50,32.50,40.25±5.33
91.25,86.25,87.50,87.50,76.25,85.75±5.63
67.50,85.00,78.75,71.25,68.75,74.25±7.43
52.50,55.00,37.50,51.25,47.50,48.75±6.85
73.26,75.65,75.16,75.53,72.55,74.43±18.59
