Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
45.0,48.75,43.75,51.25,37.5,45.25±5.26,7.26±3.31
52.5,31.25,43.75,37.5,33.75,39.75±8.54,4.66±4.81
23.75,30.0,32.5,45.0,43.75,35.00±9.14,2.85±3.26
52.5,80.0,77.5,76.25,75.0,72.25±11.19,37.09±14.13
30.0,28.75,35.0,33.75,37.5,33.00±3.60,1.33±1.01
58.75,37.5,50.0,32.5,56.25,47.00±11.54,9.69±7.72
71.25,63.75,72.5,46.25,77.5,66.25±12.22,29.01±13.87
33.75,36.25,36.25,33.75,38.75,35.75±2.09,2.11±0.80
31.25,55.0,51.25,52.5,43.75,46.75±9.63,9.05±5.65
56.25,45.0,55.0,46.25,58.75,52.25±6.21,12.68±5.20
86.25,88.75,90.0,96.25,80.0,88.25±5.90,65.62±13.62
50.0,56.25,71.25,85.0,90.0,70.50±17.42,37.29±25.44
52.5,35.0,42.5,48.75,40.0,43.75±6.96,6.56±4.31
40.0,36.25,38.75,25.0,38.75,35.75±6.16,2.55±1.55
42.5,33.75,35.0,37.5,32.5,36.25±3.95,2.44±1.70
62.5,80.0,61.25,60.0,40.0,60.75±14.19,23.08±15.86
40.0,38.75,38.75,31.25,41.25,38.00±3.91,3.15±1.46
86.25,73.75,75.0,92.5,87.5,83.00±8.23,55.05±15.97
37.5,41.25,50.0,43.75,43.75,43.25±4.56,5.93±2.82
38.75,33.75,40.0,37.5,32.5,36.50±3.24,2.47±1.24
53.75,63.75,53.75,70.0,52.5,58.75±7.76,19.15±8.67
36.25,46.25,41.25,43.75,45.0,42.50±3.95,5.43±2.11
41.25,26.25,40.0,37.5,38.75,36.75±6.03,2.91±1.74
37.5,35.0,27.5,28.75,30.0,31.75±4.29,1.08±1.15
62.5,48.75,67.5,52.5,65.0,59.25±8.18,19.75±8.41
31.25,33.75,56.25,37.5,37.5,39.25±9.87,4.70±6.32
50.0,50.0,61.25,53.75,38.75,50.75±8.13,11.75±6.45
30.0,36.25,27.5,33.75,30.0,31.50±3.47,0.93±0.87
37.5,56.25,45.0,43.75,62.5,49.00±10.13,10.79±8.19
58.75,41.25,52.5,45.0,68.75,53.25±10.99,14.53±10.39
68.75,86.25,75.0,57.5,63.75,70.25±11.02,34.29±16.70
45.0,70.0,63.75,67.5,71.25,63.50±10.73,25.13±10.94
32.5,41.25,30.0,32.5,23.75,32.00±6.29,1.41±1.81
27.5,36.25,32.5,46.25,21.25,32.75±9.41,2.20±3.15
42.5,36.25,33.75,33.75,32.5,35.75±4.01,2.25±1.73
95.0,97.5,93.75,87.5,96.25,94.00±3.89,79.58±10.24
58.75,57.5,65.0,50.0,36.25,53.50±11.02,14.75±8.83
42.5,50.0,48.75,43.75,50.0,47.00±3.60,8.28±2.48
66.25,43.75,47.5,62.5,48.75,53.75±9.96,14.71±9.47
38.75,32.5,33.75,28.75,35.0,33.75±3.64,1.55±1.13
58.75,65.0,70.0,37.5,30.0,52.25±17.55,15.87±13.92
36.25,37.5,37.5,31.25,30.0,34.50±3.60,1.78±1.11
78.75,78.75,86.25,68.75,87.5,80.00±7.50,49.05±13.08
37.5,58.75,62.5,62.5,51.25,54.50±10.55,15.54±8.48
38.75,37.5,37.5,48.75,48.75,42.25±5.96,5.52±3.55
26.25,31.25,38.75,33.75,37.5,33.50±5.03,1.63±1.37
25.0,36.25,30.0,26.25,30.0,29.50±4.38,0.64±0.92
56.25,58.75,70.0,46.25,56.25,57.50±8.48,18.00±8.91
73.75,66.25,75.0,67.5,76.25,71.75±4.56,34.96±6.58
43.75,47.5,42.5,45.0,47.5,45.25±2.24,7.00±1.46
28.75,37.5,28.75,28.75,30.0,30.75±3.81,0.80±1.09
43.75,38.75,48.75,45.0,47.5,44.75±3.89,6.79±2.37
31.25,36.25,35.0,36.25,36.25,35.00±2.17,1.85±0.66
25.0,40.0,30.0,31.25,37.5,32.75±6.02,1.57±1.68
47.25,48.75,50.53,47.73,48.56,48.56±15.90,14.00±17.19
