Fold1,Fold2,Mean±Std
80.83,64.17,72.50±11.79
81.67,80.83,81.25±0.59
39.17,60.00,49.58±14.73
88.33,95.83,92.08±5.30
47.50,56.67,52.08±6.48
75.83,77.50,76.67±1.18
100.00,100.00,100.00±0.00
66.67,51.67,59.17±10.61
72.50,83.33,77.92±7.66
62.50,71.67,67.08±6.48
100.00,100.00,100.00±0.00
100.00,100.00,100.00±0.00
64.17,81.67,72.92±12.37
50.83,65.83,58.33±10.61
63.33,56.67,60.00±4.71
88.33,90.00,89.17±1.18
65.83,53.33,59.58±8.84
98.33,100.00,99.17±1.18
65.83,81.67,73.75±11.20
45.83,58.33,52.08±8.84
72.50,69.17,70.83±2.36
44.17,66.67,55.42±15.91
52.50,40.83,46.67±8.25
42.50,57.50,50.00±10.61
72.50,85.00,78.75±8.84
74.17,70.83,72.50±2.36
85.83,96.67,91.25±7.66
55.00,54.17,54.58±0.59
55.83,79.17,67.50±16.50
92.50,100.00,96.25±5.30
100.00,100.00,100.00±0.00
91.67,93.33,92.50±1.18
65.00,50.83,57.92±10.02
40.83,35.00,37.92±4.12
56.67,51.67,54.17±3.54
100.00,98.33,99.17±1.18
100.00,94.17,97.08±4.12
87.50,73.33,80.42±10.02
90.00,72.50,81.25±12.37
48.33,49.17,48.75±0.59
67.50,90.00,78.75±15.91
70.00,85.00,77.50±10.61
96.67,100.00,98.33±2.36
98.33,100.00,99.17±1.18
55.83,56.67,56.25±0.59
47.50,63.33,55.42±11.20
25.83,25.00,25.42±0.59
63.33,70.83,67.08±5.30
90.00,98.33,94.17±5.89
86.67,75.83,81.25±7.66
54.17,52.50,53.33±1.18
76.67,72.50,74.58±2.95
54.17,69.17,61.67±10.61
43.33,47.50,45.42±2.95
70.65,73.60,72.12±19.03
