Fold1,Mean±Std
87.24,87.24±nan
92.10,92.10±nan
80.90,80.90±nan
97.66,97.66±nan
66.49,66.49±nan
93.32,93.32±nan
100.00,100.00±nan
89.24,89.24±nan
88.37,88.37±nan
90.19,90.19±nan
100.00,100.00±nan
97.83,97.83±nan
77.60,77.60±nan
92.88,92.88±nan
94.27,94.27±nan
98.61,98.61±nan
81.08,81.08±nan
99.22,99.22±nan
75.43,75.43±nan
78.39,78.39±nan
83.25,83.25±nan
67.45,67.45±nan
34.55,34.55±nan
79.25,79.25±nan
96.27,96.27±nan
85.85,85.85±nan
96.27,96.27±nan
86.20,86.20±nan
85.07,85.07±nan
97.66,97.66±nan
100.00,100.00±nan
85.33,85.33±nan
90.71,90.71±nan
52.52,52.52±nan
60.85,60.85±nan
100.00,100.00±nan
99.22,99.22±nan
95.05,95.05±nan
98.44,98.44±nan
73.35,73.35±nan
93.14,93.14±nan
95.66,95.66±nan
100.00,100.00±nan
99.22,99.22±nan
69.10,69.10±nan
93.92,93.92±nan
38.72,38.72±nan
96.09,96.09±nan
98.44,98.44±nan
96.09,96.09±nan
57.64,57.64±nan
98.44,98.44±nan
93.66,93.66±nan
61.20,61.20±nan
85.91,85.91±15.60
