Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
38.75,58.75,50.00,60.00,51.25,51.75±8.51
41.25,46.25,55.00,36.25,43.75,44.50±6.94
43.75,37.50,33.75,48.75,52.50,43.25±7.74
88.75,92.50,92.50,91.25,88.75,90.75±1.90
48.75,32.50,47.50,50.00,30.00,41.75±9.67
78.75,76.25,76.25,77.50,57.50,73.25±8.87
85.00,77.50,78.75,87.50,88.75,83.50±5.11
37.50,45.00,41.25,30.00,37.50,38.25±5.56
55.00,47.50,50.00,57.50,51.25,52.25±3.99
48.75,43.75,48.75,60.00,38.75,48.00±7.89
98.75,98.75,98.75,97.50,98.75,98.50±0.56
58.75,73.75,70.00,86.25,78.75,73.50±10.25
47.50,38.75,38.75,28.75,36.25,38.00±6.71
37.50,67.50,66.25,40.00,38.75,50.00±15.44
38.75,46.25,33.75,58.75,41.25,43.75±9.52
86.25,80.00,68.75,90.00,82.50,81.50±8.07
27.50,65.00,62.50,51.25,70.00,55.25±16.97
95.00,95.00,92.50,93.75,95.00,94.25±1.12
45.00,46.25,56.25,42.50,48.75,47.75±5.26
27.50,22.50,37.50,22.50,35.00,29.00±6.98
66.25,86.25,70.00,73.75,72.50,73.75±7.55
52.50,40.00,48.75,38.75,46.25,45.25±5.82
26.25,33.75,31.25,27.50,31.25,30.00±3.06
37.50,37.50,45.00,31.25,36.25,37.50±4.92
68.75,75.00,80.00,62.50,73.75,72.00±6.65
43.75,42.50,30.00,46.25,35.00,39.50±6.77
65.00,43.75,53.75,55.00,61.25,55.75±8.13
27.50,40.00,50.00,55.00,43.75,43.25±10.52
50.00,55.00,46.25,52.50,62.50,53.25±6.10
93.75,96.25,93.75,95.00,93.75,94.50±1.12
83.75,96.25,96.25,88.75,92.50,91.50±5.33
87.50,96.25,82.50,86.25,87.50,88.00±5.05
50.00,31.25,36.25,27.50,50.00,39.00±10.51
23.75,26.25,33.75,36.25,32.50,30.50±5.27
33.75,37.50,27.50,28.75,31.25,31.75±4.01
92.50,100.00,98.75,92.50,100.00,96.75±3.91
92.50,92.50,90.00,90.00,81.25,89.25±4.64
68.75,28.75,66.25,61.25,43.75,53.75±17.05
65.00,55.00,71.25,93.75,73.75,71.75±14.27
56.25,50.00,47.50,46.25,43.75,48.75±4.76
80.00,86.25,73.75,82.50,65.00,77.50±8.34
56.25,43.75,60.00,58.75,40.00,51.75±9.21
73.75,93.75,95.00,96.25,91.25,90.00±9.27
81.25,92.50,87.50,87.50,81.25,86.00±4.79
30.00,28.75,32.50,35.00,33.75,32.00±2.59
53.75,37.50,63.75,48.75,47.50,50.25±9.58
20.00,26.25,26.25,31.25,21.25,25.00±4.51
57.50,77.50,73.75,61.25,55.00,65.00±10.04
100.00,97.50,98.75,100.00,98.75,99.00±1.05
57.50,50.00,81.25,67.50,82.50,67.75±14.32
21.25,33.75,26.25,32.50,21.25,27.00±5.97
42.50,60.00,61.25,57.50,56.25,55.50±7.53
51.25,55.00,26.25,42.50,45.00,44.00±11.09
36.25,27.50,27.50,30.00,35.00,31.25±4.15
56.94,58.61,59.84,59.81,57.99,58.64±22.20
