Fold1,Mean±Std
72.00,72.00±nan
92.00,92.00±nan
71.00,71.00±nan
97.00,97.00±nan
65.00,65.00±nan
92.00,92.00±nan
100.00,100.00±nan
53.00,53.00±nan
85.00,85.00±nan
77.00,77.00±nan
100.00,100.00±nan
99.00,99.00±nan
66.00,66.00±nan
88.00,88.00±nan
90.00,90.00±nan
97.00,97.00±nan
74.00,74.00±nan
97.00,97.00±nan
87.00,87.00±nan
74.00,74.00±nan
81.00,81.00±nan
67.00,67.00±nan
26.00,26.00±nan
79.00,79.00±nan
95.00,95.00±nan
83.00,83.00±nan
95.00,95.00±nan
84.00,84.00±nan
82.00,82.00±nan
99.00,99.00±nan
100.00,100.00±nan
79.00,79.00±nan
71.00,71.00±nan
48.00,48.00±nan
51.00,51.00±nan
99.00,99.00±nan
98.00,98.00±nan
94.00,94.00±nan
95.00,95.00±nan
67.00,67.00±nan
90.00,90.00±nan
91.00,91.00±nan
98.00,98.00±nan
99.00,99.00±nan
67.00,67.00±nan
87.00,87.00±nan
33.00,33.00±nan
92.00,92.00±nan
95.00,95.00±nan
91.00,91.00±nan
50.00,50.00±nan
93.00,93.00±nan
92.00,92.00±nan
61.00,61.00±nan
81.63,81.63±17.60
