Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
72.5,88.75,78.75,86.25,92.5,83.75±8.05,52.14±14.43
92.5,80.0,90.0,86.25,93.75,88.50±5.55,60.91±11.20
70.0,62.5,41.25,65.0,61.25,60.00±11.00,19.56±9.44
100.0,100.0,98.75,100.0,100.0,99.75±0.56,91.23±2.41
58.75,43.75,58.75,46.25,25.0,46.50±13.87,9.31±7.49
97.5,91.25,86.25,95.0,93.75,92.75±4.28,70.41±10.21
100.0,100.0,100.0,100.0,100.0,100.00±0.00,92.31±0.00
42.5,75.0,48.75,58.75,55.0,56.00±12.29,16.14±12.33
45.0,78.75,92.5,72.5,77.5,73.25±17.45,38.21±22.49
80.0,52.5,55.0,71.25,66.25,65.00±11.42,25.16±13.49
100.0,100.0,100.0,100.0,100.0,100.00±0.00,92.31±0.00
98.75,95.0,98.75,100.0,98.75,98.25±1.90,85.70±6.20
47.5,48.75,56.25,42.5,36.25,46.25±7.45,7.62±4.73
87.5,85.0,77.5,90.0,91.25,86.25±5.45,56.22±10.17
85.0,88.75,78.75,85.0,90.0,85.50±4.38,54.54±8.18
96.25,97.5,100.0,97.5,100.0,98.25±1.68,85.78±6.15
83.75,81.25,85.0,80.0,82.5,82.50±1.98,48.70±3.49
100.0,100.0,100.0,100.0,100.0,100.00±0.00,92.31±0.00
93.75,76.25,95.0,87.5,82.5,87.00±7.84,58.55±15.60
48.75,50.0,47.5,47.5,40.0,46.75±3.91,7.51±2.30
90.0,92.5,91.25,88.75,83.75,89.25±3.38,62.02±6.98
57.5,65.0,58.75,45.0,56.25,56.50±7.26,15.47±6.21
28.75,21.25,21.25,21.25,31.25,24.75±4.87,0.18±0.29
72.5,65.0,68.75,75.0,65.0,69.25±4.47,28.98±5.76
82.5,90.0,93.75,92.5,91.25,90.00±4.42,63.88±9.14
85.0,72.5,87.5,88.75,77.5,82.25±6.98,49.06±11.89
93.75,92.5,95.0,92.5,98.75,94.50±2.59,74.54±7.40
76.25,87.5,72.5,68.75,43.75,69.75±16.14,32.63±18.95
82.5,87.5,90.0,88.75,90.0,87.75±3.11,58.81±6.10
100.0,100.0,100.0,100.0,100.0,100.00±0.00,92.31±0.00
100.0,98.75,100.0,100.0,100.0,99.75±0.56,91.23±2.41
97.5,98.75,96.25,97.5,97.5,97.50±0.88,82.78±2.83
48.75,58.75,31.25,58.75,58.75,51.25±11.99,12.07±7.33
30.0,41.25,33.75,42.5,46.25,38.75±6.67,3.55±2.70
45.0,48.75,72.5,52.5,63.75,56.50±11.37,16.33±11.14
100.0,100.0,100.0,100.0,100.0,100.00±0.00,92.31±0.00
96.25,97.5,97.5,98.75,98.75,97.75±1.05,83.63±3.38
97.5,97.5,98.75,100.0,100.0,98.75±1.25,87.38±4.81
92.5,86.25,85.0,91.25,76.25,86.25±6.43,56.49±12.14
81.25,60.0,61.25,67.5,46.25,63.25±12.70,23.55±14.59
91.25,95.0,90.0,96.25,97.5,94.00±3.24,73.31±8.28
91.25,70.0,95.0,91.25,93.75,88.25±10.33,61.92±18.45
100.0,100.0,100.0,100.0,100.0,100.00±0.00,92.31±0.00
100.0,100.0,100.0,100.0,100.0,100.00±0.00,92.31±0.00
48.75,67.5,51.25,56.25,60.0,56.75±7.43,15.73±7.09
67.5,88.75,92.5,67.5,80.0,79.25±11.65,45.44±19.40
28.75,35.0,33.75,27.5,23.75,29.75±4.63,0.65±0.75
96.25,92.5,90.0,93.75,90.0,92.50±2.65,69.37±6.55
96.25,100.0,96.25,98.75,100.0,98.25±1.90,85.87±6.72
82.5,93.75,98.75,96.25,97.5,93.75±6.56,73.87±15.11
67.5,60.0,56.25,50.0,53.75,57.50±6.67,16.31±6.54
96.25,98.75,95.0,96.25,98.75,97.00±1.68,81.42±5.22
70.0,77.5,90.0,90.0,80.0,81.50±8.59,48.22±14.82
62.5,71.25,41.25,45.0,60.0,56.00±12.54,16.17±11.15
78.82,79.75,79.14,79.44,78.63,79.16±20.74,53.05±30.75
