Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
88.75,82.50,77.50,92.50,91.25,86.50±6.34
91.25,95.00,92.50,91.25,86.25,91.25±3.19
71.25,72.50,71.25,65.00,76.25,71.25±4.05
96.25,100.00,91.25,98.75,90.00,95.25±4.45
60.00,61.25,62.50,65.00,52.50,60.25±4.71
91.25,96.25,97.50,97.50,95.00,95.50±2.59
100.00,100.00,100.00,100.00,100.00,100.00±0.00
82.50,82.50,86.25,80.00,77.50,81.75±3.26
91.25,90.00,91.25,85.00,76.25,86.75±6.41
96.25,92.50,90.00,87.50,83.75,90.00±4.76
100.00,100.00,100.00,100.00,98.75,99.75±0.56
98.75,100.00,98.75,98.75,98.75,99.00±0.56
72.50,77.50,72.50,77.50,76.25,75.25±2.56
96.25,96.25,97.50,92.50,91.25,94.75±2.71
92.50,88.75,92.50,95.00,93.75,92.50±2.34
98.75,98.75,100.00,97.50,97.50,98.50±1.05
76.25,77.50,80.00,76.25,83.75,78.75±3.19
100.00,98.75,100.00,98.75,98.75,99.25±0.68
95.00,95.00,91.25,92.50,88.75,92.50±2.65
67.50,65.00,71.25,72.50,46.25,64.50±10.63
87.50,83.75,87.50,80.00,86.25,85.00±3.19
77.50,73.75,63.75,65.00,77.50,71.50±6.70
25.00,30.00,25.00,35.00,31.25,29.25±4.29
81.25,76.25,80.00,72.50,66.25,75.25±6.09
83.75,98.75,93.75,96.25,82.50,91.00±7.42
88.75,90.00,83.75,88.75,87.50,87.75±2.40
93.75,97.50,92.50,91.25,96.25,94.25±2.59
86.25,86.25,88.75,86.25,86.25,86.75±1.12
90.00,87.50,91.25,87.50,95.00,90.25±3.11
100.00,100.00,100.00,98.75,95.00,98.75±2.17
100.00,100.00,100.00,95.00,98.75,98.75±2.17
100.00,100.00,100.00,98.75,100.00,99.75±0.56
83.75,95.00,77.50,91.25,91.25,87.75±7.04
36.25,46.25,55.00,51.25,40.00,45.75±7.74
47.50,58.75,57.50,71.25,57.50,58.50±8.45
100.00,98.75,98.75,100.00,100.00,99.50±0.68
97.50,97.50,97.50,98.75,97.50,97.75±0.56
100.00,100.00,97.50,97.50,100.00,99.00±1.37
95.00,92.50,88.75,98.75,95.00,94.00±3.69
82.50,68.75,66.25,72.50,55.00,69.00±9.98
91.25,93.75,93.75,82.50,96.25,91.50±5.33
91.25,96.25,96.25,95.00,97.50,95.25±2.40
98.75,97.50,100.00,100.00,100.00,99.25±1.12
98.75,100.00,100.00,100.00,100.00,99.75±0.56
73.75,63.75,68.75,65.00,66.25,67.50±3.95
97.50,90.00,88.75,96.25,87.50,92.00±4.56
40.00,31.25,37.50,20.00,31.25,32.00±7.74
95.00,92.50,92.50,97.50,93.75,94.25±2.09
97.50,100.00,100.00,100.00,97.50,99.00±1.37
97.50,96.25,97.50,95.00,90.00,95.25±3.11
65.00,71.25,68.75,67.50,62.50,67.00±3.38
98.75,98.75,93.75,96.25,96.25,96.75±2.09
91.25,83.75,77.50,73.75,76.25,80.50±7.05
72.50,66.25,60.00,61.25,62.50,64.50±5.05
85.76,85.79,84.88,85.00,83.31,84.95±16.78
