Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
95.00,90.00,100.00,90.00,100.00,95.00±5.00
95.00,100.00,100.00,95.00,95.00,97.00±2.74
80.00,80.00,70.00,95.00,90.00,83.00±9.75
100.00,100.00,100.00,100.00,100.00,100.00±0.00
70.00,75.00,75.00,80.00,55.00,71.00±9.62
95.00,100.00,100.00,95.00,95.00,97.00±2.74
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,95.00,85.00,90.00,95.00,92.00±4.47
85.00,95.00,90.00,100.00,100.00,94.00±6.52
95.00,95.00,90.00,100.00,95.00,95.00±3.54
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,100.00,100.00,100.00,100.00,99.00±2.24
90.00,90.00,95.00,85.00,95.00,91.00±4.18
100.00,95.00,100.00,95.00,100.00,98.00±2.74
100.00,100.00,100.00,95.00,100.00,99.00±2.24
100.00,100.00,100.00,100.00,100.00,100.00±0.00
80.00,90.00,90.00,85.00,90.00,87.00±4.47
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,100.00,100.00,100.00,100.00,98.00±4.47
90.00,100.00,95.00,95.00,85.00,93.00±5.70
85.00,100.00,100.00,100.00,95.00,96.00±6.52
85.00,100.00,90.00,80.00,90.00,89.00±7.42
40.00,50.00,45.00,60.00,30.00,45.00±11.18
100.00,90.00,90.00,100.00,85.00,93.00±6.71
100.00,100.00,100.00,95.00,90.00,97.00±4.47
100.00,95.00,90.00,90.00,85.00,92.00±5.70
100.00,95.00,100.00,95.00,85.00,95.00±6.12
95.00,90.00,100.00,90.00,80.00,91.00±7.42
95.00,95.00,100.00,100.00,95.00,97.00±2.74
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,100.00,100.00,85.00,95.00,95.00±6.12
75.00,55.00,80.00,80.00,60.00,70.00±11.73
75.00,85.00,95.00,90.00,90.00,87.00±7.58
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,95.00,99.00±2.24
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,95.00,100.00,100.00,100.00,98.00±2.74
95.00,80.00,85.00,95.00,85.00,88.00±6.71
100.00,100.00,95.00,95.00,90.00,96.00±4.18
100.00,100.00,100.00,85.00,100.00,97.00±6.71
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
60.00,90.00,85.00,85.00,85.00,81.00±11.94
100.00,100.00,100.00,100.00,100.00,100.00±0.00
40.00,60.00,35.00,45.00,55.00,47.00±10.37
100.00,100.00,90.00,100.00,100.00,98.00±4.47
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,100.00,95.00,100.00,100.00,98.00±2.74
90.00,75.00,90.00,70.00,75.00,80.00±9.35
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,95.00,95.00,98.00±2.74
80.00,90.00,70.00,75.00,75.00,78.00±7.58
91.76,93.52,93.06,92.78,91.30,92.48±11.62
