Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
82.50,77.50,73.75,88.75,65.00,77.50±8.97
73.75,75.00,75.00,81.25,80.00,77.00±3.38
48.75,55.00,55.00,58.75,52.50,54.00±3.69
95.00,95.00,92.50,92.50,92.50,93.50±1.37
60.00,41.25,56.25,65.00,55.00,55.50±8.87
88.75,83.75,87.50,86.25,87.50,86.75±1.90
97.50,96.25,96.25,97.50,97.50,97.00±0.68
66.25,70.00,67.50,66.25,56.25,65.25±5.26
65.00,75.00,65.00,65.00,72.50,68.50±4.87
68.75,81.25,86.25,80.00,73.75,78.00±6.82
98.75,98.75,98.75,98.75,100.00,99.00±0.56
77.50,91.25,91.25,87.50,87.50,87.00±5.63
60.00,46.25,63.75,51.25,52.50,54.75±7.04
85.00,86.25,85.00,77.50,87.50,84.25±3.91
76.25,60.00,73.75,68.75,71.25,70.00±6.25
91.25,95.00,95.00,93.75,83.75,91.75±4.73
76.25,83.75,76.25,76.25,78.75,78.25±3.26
95.00,95.00,96.25,95.00,97.50,95.75±1.12
75.00,72.50,75.00,70.00,61.25,70.75±5.70
51.25,52.50,56.25,50.00,52.50,52.50±2.34
70.00,61.25,83.75,82.50,75.00,74.50±9.30
61.25,57.50,68.75,56.25,43.75,57.50±9.10
33.75,30.00,26.25,35.00,33.75,31.75±3.60
50.00,57.50,58.75,55.00,62.50,56.75±4.64
73.75,85.00,82.50,86.25,70.00,79.50±7.21
56.25,63.75,56.25,63.75,53.75,58.75±4.68
86.25,91.25,80.00,82.50,80.00,84.00±4.79
66.25,73.75,67.50,70.00,60.00,67.50±5.08
66.25,82.50,83.75,85.00,76.25,78.75±7.76
97.50,96.25,98.75,97.50,97.50,97.50±0.88
86.25,98.75,95.00,87.50,95.00,92.50±5.38
96.25,97.50,93.75,98.75,97.50,96.75±1.90
62.50,71.25,78.75,58.75,71.25,68.50±7.93
35.00,32.50,26.25,40.00,21.25,31.00±7.36
41.25,58.75,66.25,51.25,50.00,53.50±9.45
93.75,100.00,100.00,100.00,98.75,98.50±2.71
96.25,92.50,96.25,92.50,93.75,94.25±1.90
91.25,95.00,92.50,85.00,87.50,90.25±3.99
91.25,83.75,91.25,92.50,90.00,89.75±3.47
76.25,62.50,71.25,72.50,60.00,68.50±6.93
90.00,87.50,82.50,86.25,80.00,85.25±3.99
72.50,72.50,60.00,78.75,66.25,70.00±7.13
97.50,96.25,97.50,97.50,96.25,97.00±0.68
82.50,96.25,88.75,88.75,93.75,90.00±5.30
53.75,52.50,57.50,46.25,46.25,51.25±4.92
67.50,73.75,68.75,68.75,76.25,71.00±3.79
22.50,31.25,32.50,23.75,27.50,27.50±4.42
83.75,86.25,88.75,75.00,78.75,82.50±5.59
98.75,100.00,100.00,98.75,97.50,99.00±1.05
87.50,95.00,96.25,90.00,88.75,91.50±3.89
50.00,32.50,37.50,50.00,31.25,40.25±9.20
90.00,85.00,87.50,90.00,78.75,86.25±4.68
71.25,85.00,77.50,70.00,70.00,74.75±6.52
52.50,56.25,37.50,51.25,45.00,48.50±7.36
73.77,75.42,75.86,75.14,72.20,74.48±18.82
