Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
76.25,75.00,47.50,68.75,60.00,65.50±11.94
87.50,90.00,82.50,90.00,90.00,88.00±3.26
57.50,66.25,37.50,58.75,63.75,56.75±11.34
98.75,98.75,96.25,100.00,95.00,97.75±2.05
56.25,28.75,41.25,33.75,30.00,38.00±11.31
92.50,85.00,95.00,92.50,92.50,91.50±3.79
100.00,100.00,100.00,100.00,100.00,100.00±0.00
52.50,56.25,50.00,50.00,65.00,54.75±6.27
73.75,57.50,61.25,81.25,58.75,66.50±10.47
71.25,75.00,81.25,75.00,67.50,74.00±5.11
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,98.75,98.75,98.75,98.75,99.00±0.56
61.25,47.50,72.50,65.00,60.00,61.25±9.10
48.75,73.75,78.75,78.75,66.25,69.25±12.55
61.25,81.25,53.75,91.25,68.75,71.25±15.10
95.00,90.00,97.50,96.25,93.75,94.50±2.88
63.75,68.75,78.75,83.75,55.00,70.00±11.52
100.00,98.75,100.00,98.75,96.25,98.75±1.53
88.75,56.25,92.50,70.00,85.00,78.50±15.09
43.75,60.00,62.50,51.25,55.00,54.50±7.43
87.50,86.25,87.50,87.50,70.00,83.75±7.71
65.00,52.50,53.75,52.50,53.75,55.50±5.35
30.00,17.50,31.25,28.75,25.00,26.50±5.55
60.00,48.75,37.50,37.50,40.00,44.75±9.70
73.75,82.50,97.50,90.00,90.00,86.75±9.00
58.75,70.00,77.50,67.50,65.00,67.75±6.87
85.00,91.25,91.25,87.50,72.50,85.50±7.74
72.50,66.25,66.25,72.50,55.00,66.50±7.15
77.50,57.50,63.75,55.00,83.75,67.50±12.59
100.00,100.00,100.00,95.00,98.75,98.75±2.17
100.00,98.75,100.00,95.00,100.00,98.75±2.17
98.75,97.50,93.75,96.25,98.75,97.00±2.09
53.75,61.25,46.25,23.75,38.75,44.75±14.43
27.50,30.00,36.25,32.50,32.50,31.75±3.26
30.00,28.75,40.00,37.50,31.25,33.50±4.95
98.75,100.00,100.00,100.00,100.00,99.75±0.56
96.25,98.75,97.50,98.75,97.50,97.75±1.05
88.75,67.50,96.25,90.00,82.50,85.00±10.93
82.50,75.00,90.00,83.75,88.75,84.00±5.96
73.75,65.00,63.75,63.75,57.50,64.75±5.82
90.00,92.50,90.00,93.75,93.75,92.00±1.90
90.00,91.25,85.00,92.50,78.75,87.50±5.66
98.75,98.75,100.00,100.00,100.00,99.50±0.68
97.50,100.00,100.00,98.75,100.00,99.25±1.12
36.25,42.50,31.25,42.50,36.25,37.75±4.79
57.50,52.50,67.50,53.75,52.50,56.75±6.35
30.00,26.25,33.75,27.50,30.00,29.50±2.88
88.75,86.25,63.75,81.25,85.00,81.00±10.02
98.75,98.75,96.25,100.00,98.75,98.50±1.37
47.50,83.75,92.50,96.25,92.50,82.50±20.10
50.00,53.75,46.25,45.00,31.25,45.25±8.54
73.75,91.25,80.00,80.00,87.50,82.50±6.90
63.75,62.50,52.50,75.00,62.50,63.25±7.98
37.50,40.00,37.50,36.25,48.75,40.00±5.08
73.12,72.64,73.59,74.10,71.85,73.06±22.18
