Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
68.75,81.25,88.75,75.0,81.25,79.00±7.52,51.59±14.44
81.25,86.25,85.0,91.25,87.5,86.25±3.64,66.05±8.49
48.75,70.0,55.0,56.25,61.25,58.25±7.94,20.36±9.41
90.0,96.25,97.5,91.25,92.5,93.50±3.24,85.14±9.88
60.0,60.0,63.75,63.75,62.5,62.00±1.90,24.03±2.36
90.0,88.75,91.25,78.75,86.25,87.00±4.97,68.09±11.10
98.75,97.5,96.25,100.0,98.75,98.25±1.43,101.11±5.96
71.25,70.0,67.5,81.25,71.25,72.25±5.26,39.08±9.14
78.75,86.25,81.25,83.75,78.75,81.75±3.26,56.15±6.78
70.0,86.25,93.75,88.75,73.75,82.50±10.16,59.77±21.13
100.0,100.0,98.75,100.0,100.0,99.75±0.56,107.82±2.85
95.0,95.0,96.25,96.25,93.75,95.25±1.05,90.02±3.35
56.25,57.5,73.75,53.75,68.75,62.00±8.73,25.02±11.50
82.5,93.75,85.0,91.25,92.5,89.00±4.95,73.09±12.21
83.75,82.5,77.5,85.0,78.75,81.50±3.24,55.63±6.53
95.0,95.0,97.5,95.0,92.5,95.00±1.77,89.36±5.69
82.5,77.5,77.5,82.5,86.25,81.25±3.75,55.20±7.64
97.5,98.75,95.0,98.75,96.25,97.25±1.63,97.12±5.95
76.25,88.75,82.5,81.25,68.75,79.50±7.48,52.54±14.33
48.75,63.75,70.0,62.5,60.0,61.00±7.78,23.55±8.97
77.5,83.75,87.5,86.25,75.0,82.00±5.49,57.07±11.15
63.75,66.25,77.5,67.5,62.5,67.50±5.93,31.90±9.22
23.75,36.25,28.75,38.75,36.25,32.75±6.27,1.76±1.55
63.75,68.75,65.0,61.25,55.0,62.75±5.11,25.28±6.34
77.5,90.0,82.5,83.75,86.25,84.00±4.63,61.17±10.06
73.75,75.0,63.75,73.75,73.75,72.00±4.64,38.55±6.95
91.25,93.75,88.75,93.75,86.25,90.75±3.26,77.23±8.58
68.75,72.5,81.25,71.25,77.5,74.25±5.05,42.37±8.79
82.5,86.25,87.5,85.0,85.0,85.25±1.85,63.50±4.13
98.75,98.75,100.0,98.75,96.25,98.50±1.37,102.10±5.66
88.75,100.0,100.0,91.25,93.75,94.75±5.11,90.67±17.49
100.0,100.0,97.5,98.75,100.0,99.25±1.12,105.55±5.17
76.25,81.25,92.5,87.5,76.25,82.75±7.15,59.21±15.74
41.25,36.25,27.5,46.25,41.25,38.50±7.09,4.16±3.07
33.75,65.0,57.5,51.25,55.0,52.50±11.63,15.31±9.60
100.0,100.0,98.75,100.0,100.0,99.75±0.56,107.82±2.85
96.25,96.25,92.5,98.75,96.25,96.00±2.24,92.83±7.48
93.75,92.5,90.0,95.0,95.0,93.25±2.09,84.02±5.99
95.0,92.5,90.0,93.75,83.75,91.00±4.45,78.21±11.40
77.5,72.5,71.25,80.0,66.25,73.50±5.41,41.15±9.01
91.25,88.75,81.25,82.5,78.75,84.50±5.27,62.45±11.93
77.5,88.75,87.5,85.0,77.5,83.25±5.42,59.71±11.43
100.0,97.5,98.75,100.0,98.75,99.00±1.05,104.27±4.85
93.75,96.25,97.5,93.75,93.75,95.00±1.77,89.37±5.81
60.0,65.0,65.0,58.75,50.0,59.75±6.15,21.75±6.83
75.0,80.0,82.5,70.0,76.25,76.75±4.81,46.72±8.62
41.25,40.0,32.5,23.75,40.0,35.50±7.43,2.92±2.21
90.0,92.5,87.5,87.5,82.5,88.00±3.71,70.25±8.94
100.0,98.75,96.25,100.0,98.75,98.75±1.53,103.38±6.49
85.0,95.0,93.75,88.75,88.75,90.25±4.09,76.13±10.83
38.75,53.75,61.25,57.5,48.75,52.00±8.73,14.08±7.53
95.0,88.75,90.0,90.0,85.0,89.75±3.58,74.68±9.46
81.25,85.0,76.25,83.75,75.0,80.25±4.45,53.31±8.72
61.25,58.75,45.0,58.75,48.75,54.50±7.16,16.18±6.90
77.57,81.69,80.53,80.35,78.06,79.64±17.10,59.55±30.22
