Fold1,Fold2,Mean±Std
90.83,98.33,94.58±5.30
94.17,92.50,93.33±1.18
69.17,82.50,75.83±9.43
96.67,100.00,98.33±2.36
65.00,70.00,67.50±3.54
98.33,100.00,99.17±1.18
100.00,100.00,100.00±0.00
86.67,90.00,88.33±2.36
90.83,94.17,92.50±2.36
87.50,96.67,92.08±6.48
100.00,100.00,100.00±0.00
98.33,100.00,99.17±1.18
90.83,89.17,90.00±1.18
95.00,94.17,94.58±0.59
98.33,98.33,98.33±0.00
100.00,98.33,99.17±1.18
80.00,82.50,81.25±1.77
98.33,100.00,99.17±1.18
100.00,98.33,99.17±1.18
81.67,81.67,81.67±0.00
91.67,84.17,87.92±5.30
73.33,79.17,76.25±4.12
40.00,36.67,38.33±2.36
90.83,89.17,90.00±1.18
92.50,96.67,94.58±2.95
95.00,89.17,92.08±4.12
98.33,93.33,95.83±3.54
90.83,88.33,89.58±1.77
92.50,95.83,94.17±2.36
100.00,100.00,100.00±0.00
100.00,100.00,100.00±0.00
98.33,98.33,98.33±0.00
95.00,95.00,95.00±0.00
70.00,57.50,63.75±8.84
70.00,85.00,77.50±10.61
100.00,98.33,99.17±1.18
100.00,94.17,97.08±4.12
100.00,98.33,99.17±1.18
95.00,100.00,97.50±3.54
90.83,87.50,89.17±2.36
95.83,91.67,93.75±2.95
95.00,91.67,93.33±2.36
100.00,100.00,100.00±0.00
98.33,100.00,99.17±1.18
76.67,72.50,74.58±2.95
100.00,100.00,100.00±0.00
33.33,30.83,32.08±1.77
100.00,93.33,96.67±4.71
100.00,100.00,100.00±0.00
96.67,98.33,97.50±1.18
63.33,81.67,72.50±12.96
100.00,95.83,97.92±2.95
100.00,94.17,97.08±4.12
79.17,67.50,73.33±8.25
89.71,89.83,89.77±14.16
