Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
76.25,75.00,47.50,68.75,60.00,65.50±11.94
86.25,90.00,82.50,90.00,90.00,87.75±3.35
57.50,66.25,37.50,58.75,63.75,56.75±11.34
98.75,98.75,96.25,100.00,95.00,97.75±2.05
56.25,30.00,41.25,37.50,28.75,38.75±11.08
95.00,85.00,95.00,92.50,92.50,92.00±4.11
100.00,100.00,100.00,100.00,100.00,100.00±0.00
42.50,55.00,50.00,50.00,62.50,52.00±7.37
73.75,53.75,61.25,81.25,57.50,65.50±11.58
71.25,75.00,81.25,75.00,68.75,74.25±4.73
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,98.75,98.75,98.75,98.75,99.00±0.56
61.25,47.50,72.50,65.00,60.00,61.25±9.10
48.75,73.75,78.75,78.75,66.25,69.25±12.55
61.25,81.25,60.00,91.25,67.50,72.25±13.56
95.00,90.00,97.50,96.25,93.75,94.50±2.88
63.75,68.75,78.75,83.75,53.75,69.75±11.94
100.00,98.75,100.00,98.75,96.25,98.75±1.53
88.75,56.25,92.50,70.00,85.00,78.50±15.09
43.75,60.00,62.50,51.25,55.00,54.50±7.43
87.50,86.25,87.50,87.50,70.00,83.75±7.71
65.00,52.50,53.75,52.50,53.75,55.50±5.35
28.75,17.50,31.25,28.75,25.00,26.25±5.38
60.00,48.75,37.50,37.50,40.00,44.75±9.70
73.75,81.25,97.50,90.00,90.00,86.50±9.16
58.75,70.00,77.50,67.50,65.00,67.75±6.87
85.00,91.25,91.25,87.50,70.00,85.00±8.79
72.50,66.25,66.25,73.75,55.00,66.75±7.43
77.50,57.50,63.75,55.00,83.75,67.50±12.59
100.00,100.00,100.00,95.00,98.75,98.75±2.17
100.00,98.75,100.00,95.00,100.00,98.75±2.17
98.75,97.50,93.75,96.25,98.75,97.00±2.09
53.75,61.25,46.25,23.75,38.75,44.75±14.43
27.50,30.00,35.00,31.25,31.25,31.00±2.71
30.00,30.00,40.00,37.50,31.25,33.75±4.68
98.75,100.00,100.00,100.00,100.00,99.75±0.56
96.25,98.75,97.50,98.75,97.50,97.75±1.05
90.00,68.75,93.75,90.00,82.50,85.00±9.96
82.50,75.00,90.00,83.75,88.75,84.00±5.96
72.50,65.00,63.75,63.75,57.50,64.50±5.35
90.00,92.50,90.00,93.75,93.75,92.00±1.90
90.00,91.25,85.00,92.50,76.25,87.00±6.65
98.75,98.75,100.00,100.00,100.00,99.50±0.68
97.50,100.00,100.00,98.75,100.00,99.25±1.12
37.50,43.75,31.25,42.50,32.50,37.50±5.66
58.75,50.00,66.25,55.00,52.50,56.50±6.34
27.50,26.25,33.75,27.50,30.00,29.00±2.98
88.75,86.25,63.75,81.25,85.00,81.00±10.02
98.75,98.75,96.25,100.00,97.50,98.25±1.43
47.50,83.75,92.50,96.25,91.25,82.25±19.95
50.00,53.75,46.25,45.00,31.25,45.25±8.54
73.75,91.25,80.00,80.00,87.50,82.50±6.90
63.75,62.50,52.50,75.00,62.50,63.25±7.98
37.50,40.00,37.50,36.25,48.75,40.00±5.08
72.94,72.57,73.61,74.19,71.50,72.96±22.25
