Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
86.25,86.25,87.5,90.0,90.0,88.00±1.90,54.96±3.65
88.75,87.5,85.0,88.75,97.5,89.50±4.73,58.55±10.58
70.0,75.0,65.0,77.5,65.0,70.50±5.70,28.56±7.04
100.0,96.25,96.25,97.5,98.75,97.75±1.63,77.95±5.31
63.75,66.25,57.5,58.75,60.0,61.25±3.64,18.25±3.57
95.0,95.0,97.5,95.0,93.75,95.25±1.37,70.79±3.60
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
87.5,83.75,76.25,87.5,82.5,83.50±4.63,47.19±7.54
88.75,93.75,86.25,85.0,81.25,87.00±4.64,53.50±8.92
91.25,85.0,83.75,92.5,75.0,85.50±6.99,51.23±12.13
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
100.0,97.5,98.75,97.5,98.75,98.50±1.05,80.14±3.68
75.0,85.0,73.75,68.75,73.75,75.25±5.96,34.80±8.69
96.25,96.25,93.75,85.0,92.5,92.75±4.63,65.42±9.81
97.5,96.25,92.5,95.0,100.0,96.25±2.80,73.99±8.03
96.25,100.0,97.5,98.75,96.25,97.75±1.63,77.95±5.31
80.0,77.5,83.75,85.0,80.0,81.25±3.06,43.29±4.89
100.0,100.0,98.75,98.75,98.75,99.25±0.68,82.71±2.74
96.25,93.75,92.5,92.5,82.5,91.50±5.26,62.75±10.52
55.0,75.0,68.75,66.25,66.25,66.25±7.23,23.83±7.66
85.0,85.0,75.0,81.25,88.75,83.00±5.20,46.44±8.39
65.0,72.5,55.0,70.0,52.5,63.00±8.91,20.68±8.86
28.75,28.75,20.0,37.5,30.0,29.00±6.21,0.64±0.97
66.25,76.25,72.5,75.0,78.75,73.75±4.76,32.57±6.07
81.25,97.5,90.0,93.75,86.25,89.75±6.34,59.48±13.09
77.5,82.5,83.75,86.25,83.75,82.75±3.24,45.74±5.19
93.75,96.25,93.75,97.5,97.5,95.75±1.90,72.18±4.93
83.75,86.25,88.75,83.75,87.5,86.00±2.24,51.27±4.04
92.5,90.0,92.5,93.75,92.5,92.25±1.37,63.66±2.97
98.75,100.0,98.75,100.0,97.5,99.00±1.05,81.93±3.81
100.0,100.0,100.0,97.5,98.75,99.25±1.12,82.93±4.06
93.75,98.75,100.0,98.75,100.0,98.25±2.59,79.97±7.66
83.75,93.75,96.25,85.0,86.25,89.00±5.62,57.71±11.67
46.25,35.0,46.25,63.75,41.25,46.50±10.69,7.81±7.44
43.75,72.5,60.0,61.25,68.75,61.25±11.08,19.39±9.78
97.5,98.75,95.0,98.75,100.0,98.00±1.90,78.79±5.83
98.75,95.0,97.5,98.75,98.75,97.75±1.63,77.79±4.65
98.75,100.0,98.75,100.0,98.75,99.25±0.68,82.71±2.74
96.25,93.75,92.5,95.0,87.5,93.00±3.38,65.68±7.40
80.0,81.25,65.0,75.0,76.25,75.50±6.41,35.18±8.33
88.75,92.5,90.0,92.5,93.75,91.50±2.05,62.09±4.38
91.25,93.75,93.75,93.75,91.25,92.75±1.37,64.78±3.06
100.0,100.0,98.75,100.0,100.0,99.75±0.56,84.71±2.24
98.75,98.75,100.0,98.75,95.0,98.25±1.90,79.58±5.75
61.25,66.25,71.25,68.75,63.75,66.25±3.95,23.43±4.34
91.25,93.75,90.0,93.75,91.25,92.00±1.68,63.14±3.69
35.0,36.25,42.5,31.25,36.25,36.25±4.05,2.10±1.44
92.5,92.5,95.0,93.75,93.75,93.50±1.05,66.47±2.46
98.75,100.0,97.5,100.0,97.5,98.75±1.25,81.14±4.47
97.5,96.25,93.75,92.5,93.75,94.75±2.05,69.65±5.20
67.5,67.5,66.25,62.5,56.25,64.00±4.79,21.10±4.71
95.0,96.25,87.5,96.25,96.25,94.25±3.81,68.76±8.41
91.25,90.0,81.25,91.25,81.25,87.00±5.27,53.59±9.60
62.5,75.0,56.25,60.0,62.5,63.25±7.05,20.64±7.81
84.26,86.53,83.7,85.69,84.0,84.84±16.48,55.58±23.96
