Fold1,Fold2,Mean±Std
89.17,98.33,93.75±6.48
89.17,92.50,90.83±2.36
69.17,82.50,75.83±9.43
96.67,100.00,98.33±2.36
65.00,68.33,66.67±2.36
98.33,96.67,97.50±1.18
100.00,100.00,100.00±0.00
86.67,90.00,88.33±2.36
90.83,92.50,91.67±1.18
87.50,95.00,91.25±5.30
100.00,100.00,100.00±0.00
98.33,100.00,99.17±1.18
90.83,89.17,90.00±1.18
95.00,94.17,94.58±0.59
98.33,95.00,96.67±2.36
100.00,98.33,99.17±1.18
78.33,82.50,80.42±2.95
98.33,100.00,99.17±1.18
100.00,98.33,99.17±1.18
81.67,80.00,80.83±1.18
91.67,84.17,87.92±5.30
71.67,79.17,75.42±5.30
40.00,36.67,38.33±2.36
90.83,89.17,90.00±1.18
92.50,93.33,92.92±0.59
95.00,89.17,92.08±4.12
98.33,89.17,93.75±6.48
90.83,86.67,88.75±2.95
92.50,95.83,94.17±2.36
100.00,100.00,100.00±0.00
100.00,100.00,100.00±0.00
98.33,98.33,98.33±0.00
96.67,95.00,95.83±1.18
65.83,59.17,62.50±4.71
70.00,86.67,78.33±11.79
100.00,100.00,100.00±0.00
100.00,94.17,97.08±4.12
98.33,98.33,98.33±0.00
90.83,100.00,95.42±6.48
89.17,87.50,88.33±1.18
95.83,91.67,93.75±2.95
95.00,91.67,93.33±2.36
100.00,100.00,100.00±0.00
98.33,100.00,99.17±1.18
78.33,72.50,75.42±4.12
96.67,100.00,98.33±2.36
33.33,33.33,33.33±0.00
100.00,93.33,96.67±4.71
100.00,100.00,100.00±0.00
96.67,98.33,97.50±1.18
63.33,81.67,72.50±12.96
100.00,95.83,97.92±2.95
98.33,94.17,96.25±2.95
80.83,67.50,74.17±9.43
89.31,89.55,89.43±14.01
