Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
86.25,46.25,30.00,40.00,25.00,45.50±24.25
46.25,50.00,43.75,33.75,42.50,43.25±6.03
37.50,32.50,25.00,25.00,25.00,29.00±5.76
72.50,25.00,48.75,25.00,25.00,39.25±21.24
53.75,25.00,56.25,52.50,28.75,43.25±15.07
43.75,76.25,27.50,46.25,25.00,43.75±20.48
56.25,72.50,77.50,60.00,25.00,58.25±20.53
48.75,41.25,22.50,42.50,32.50,37.50±10.19
50.00,60.00,25.00,47.50,72.50,51.00±17.55
28.75,38.75,42.50,25.00,50.00,37.00±10.18
73.75,73.75,50.00,52.50,58.75,61.75±11.41
25.00,65.00,25.00,77.50,83.75,55.25±28.43
30.00,32.50,25.00,25.00,25.00,27.50±3.54
78.75,65.00,46.25,76.25,70.00,67.25±12.91
25.00,40.00,43.75,41.25,41.25,38.25±7.53
26.25,68.75,25.00,25.00,62.50,41.50±22.14
72.50,42.50,46.25,25.00,48.75,47.00±17.02
48.75,70.00,63.75,96.25,86.25,73.00±18.70
27.50,58.75,43.75,41.25,22.50,38.75±14.33
40.00,27.50,25.00,25.00,25.00,28.50±6.52
26.25,33.75,61.25,36.25,35.00,38.50±13.30
40.00,36.25,25.00,25.00,26.25,30.50±7.10
27.50,26.25,26.25,22.50,26.25,25.75±1.90
52.50,60.00,25.00,28.75,41.25,41.50±14.98
67.50,52.50,76.25,80.00,38.75,63.00±17.20
42.50,48.75,42.50,33.75,31.25,39.75±7.15
25.00,26.25,75.00,36.25,42.50,41.00±20.34
48.75,63.75,53.75,58.75,63.75,57.75±6.52
46.25,68.75,45.00,41.25,28.75,46.00±14.48
76.25,73.75,91.25,70.00,96.25,81.50±11.54
81.25,86.25,96.25,50.00,85.00,79.75±17.53
25.00,48.75,25.00,25.00,25.00,29.75±10.62
38.75,32.50,27.50,62.50,52.50,42.75±14.48
26.25,36.25,23.75,25.00,26.25,27.50±5.00
36.25,30.00,58.75,41.25,38.75,41.00±10.77
42.50,98.75,52.50,77.50,60.00,66.25±22.22
91.25,67.50,48.75,60.00,25.00,58.50±24.36
31.25,45.00,63.75,50.00,42.50,46.50±11.84
48.75,73.75,42.50,47.50,45.00,51.50±12.67
25.00,32.50,25.00,55.00,38.75,35.25±12.45
53.75,87.50,43.75,42.50,50.00,55.50±18.47
67.50,63.75,51.25,48.75,53.75,57.00±8.18
81.25,71.25,96.25,93.75,81.25,84.75±10.25
43.75,73.75,57.50,32.50,63.75,54.25±16.31
41.25,30.00,50.00,37.50,33.75,38.50±7.68
47.50,56.25,25.00,42.50,26.25,39.50±13.60
23.75,25.00,33.75,22.50,31.25,27.25±4.95
25.00,50.00,41.25,65.00,25.00,41.25±17.09
93.75,52.50,76.25,96.25,25.00,68.75±30.07
60.00,58.75,92.50,62.50,78.75,70.50±14.70
26.25,36.25,25.00,27.50,31.25,29.25±4.56
25.00,40.00,58.75,48.75,47.50,44.00±12.54
53.75,41.25,37.50,35.00,25.00,38.50±10.44
25.00,36.25,25.00,25.00,27.50,27.75±4.87
46.99,51.39,46.13,46.09,43.40,46.80±14.88
